Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,172,Alone Together,"The Ramble, Central Park","<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447105223967!6m8!1m7!1sWIcRxyhmHmGF5tTKPfJvyw!2m2!1d40.77641238373387!2d-73.96939730898781!3f334.0071113833601!4f66.56657011378456!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"," “Negative Space"" by Thomas Beller from <i>Central Park: An Anthology</i>, 2012",Thomas Beller is a lifelong New Yorker.,"You become a connoisseur of negative space. These spaces are refuges, tiny oases, sought after, multipurpose. They are meditative temples. They are moments of rest. Where nothing is happening. These places become little pockets of possibility. They are unidentified, off the grid, the staging areas for trysts, seductions, encounters. They are the places where crimes are committed, of one kind or another. The most conspicuous, hiding-in-plain- sight negative space in New York is Central Park. ",,
,156,Alone Together,Central Park,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447149888328!6m8!1m7!1sr38xYcj57GUrWzZz5M-wUg!2m2!1d40.76824309961073!2d-73.97566405865503!3f19!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""Fogg in the Park"" by Paul Auster from <i>Central Park: An Anthology</i>, 2012",Paul Auster's <i>Fogg in the Park</i> is a meditation on the two extremes of Manhattan—the hustle of the streets and the tranquility of Central Park.,"In the streets, everything is bodies and commotion, and like it or not, you cannot enter them without adhering to a rigid protocol of behavior. To walk among the crowd means never going faster than anyone else, never lagging behind your neighbor, never doing anything to disrupt the flow of human traffic. If you play by the rules of this game, people will tend to ignore you. ","In the streets, everything is bodies and commotion, and like it or not, you cannot enter them without adhering to a rigid protocol of behavior. To walk among the crowd means never going faster than anyone else, never lagging behind your neighbor, never doing anything to disrupt the flow of human traffic. If you play by the rules of this game, people will tend to ignore you. There is a particular glaze that comes over the eyes of New Yorkers when they walk through the streets, a natural and perhaps necessary form of indifference to others. It doesn’t matter how you look, for example. Outrageous costumes, bizarre hairdos, T-shirts with obscene slogans printed across them—no one pays attention to such things. On the other hand, the way you act inside your clothes is of the utmost importance. Odd gestures of any kind are automatically taken as a threat. Talking out loud to yourself, scratching your body, looking someone directly in the eye: these deviations can trigger off hostile and sometimes violent reactions from those around you. You must not swagger or swoon, you must not clutch the walls, you must not sing, for all forms of spontaneous or involuntary behavior are sure to elicit stares, caustic remarks, and even an occasional shove or kick in the shins. I was not so far gone that I received any treatment of that sort, but I saw it happen to others, and I knew that a day might eventually come when I wouldn’t be able to control myself anymore.",
,111,Alone Together,594 Broadway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447106154523!6m8!1m7!1spK82INY5EDOxZ4_oZpPDeg!2m2!1d40.72497766169104!2d-73.99714672602924!3f108.0880003975927!4f-5.288259996895789!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","“Vito Acconci’s Following Piece"" by J. P. McMahon, 2014","The work of Vito Aconcci, a New York-based performance and installation artist, frequently explored the role of individual bodies in public space. Representative of the revolutionary 1960s performance art world, Aconcci's 1969 <i>Following Piece</i> was part of the influential Architectural League of NY's Streetworks, which called 594 Broadway home. In Aconcci's words, ""I am almost not an 'I' anymore; I put myself in the service of this scheme.""","<i>Following Piece</i>, potentially, could use all the time allotted and all the space available: I might be following people, all day long, every day, through all the streets in New York City. In actuality, following episodes ranged from two or three minutes when someone got into a car and I couldn’t grab a taxi, I couldn’t follow—to seven or eight hours—when a person went to a restaurant, a movie.",,
,,Alone Together,93 MacDougal St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447106527432!6m8!1m7!1s_AhwOCYd4kTC-HbA1TnfWw!2m2!1d40.72934663568495!2d-74.00105866985758!3f307!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Christopher and Gay: A Partisan’s View of the Greenwich Village Homosexual Scene</i> by Wallace Hamilton, 1973","The San Remo Café at 93 MacDougal St was a hotspot for the Greenwich Village bohemians and intellectual elite. A known haunt for figures such as Jack Kerouac, Allen Ginsberg, James Baldwin, Frank O’Hara and Gore Vidal.","On the San Remo: “The place is an ordinary hash house during the day, serving truckers, garage men, postal clerks, and others who work in the area. At night, the place goes into outer space. By two or three in the morning, there usually isn’t a customer in there who isn’t on something, more likely a combination of somethings, nodding out, speeding, tipping, and, in the case of the reactionaries, just plain drunk.""","On the San Remo: “The place is an ordinary hash house during the day, serving truckers, garage men, postal clerks, and others who work in the area. At night, the place goes into outer space. By two or three in the morning, there usually isn’t a customer in there who isn’t on something, more likely a combination of somethings, nodding out, speeding, tipping, and, in the case of the reactionaries, just plain drunk.
<br>On entering, it looked ordinary enough, with groups clustered in booths and others hunched over the counter. Only when I looked at the groups closely did I realize that it was a drug-induced caricature of every other hash house in the country. People were speaking, but they weren’t talking. They were looking at each other, but they weren’t seeing. Their hands and bodies moved, but their selves were motionless. At the core was solitude.”",
,152,Alone Together,Times Square,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447105919191!6m8!1m7!1skqfu7GcZmwGEMIMy7AnlPQ!2m2!1d40.75874478002221!2d-73.98494845659505!3f352.4721330171787!4f26.96096853994004!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>On The Town: One Hundred Years of Spectacle in Times Square</i> by Marshall Berman, 2006","Almost 350,000 people visit Times Square each day.","What people call love is small compared with that orgy, that holy prostitution of the soul that gives itself totally, in all its poetry and charity, to the unexpected that appears, to the unknown that passes by.",,
,112,Alone Together,Columbia University's Maison Française,"<iframe src=""https://www.google.com/maps/place/Buell+Hall,+New+York,+NY+10027/@40.8077673,-73.9620592,3a,75y,111.28h,117.03t/data=!3m8!1e1!3m6!1s-4Vux5Xshe9s%2FVc6HIR7LmJI%2FAAAAAAAAlnU%2F3VIyV9oGa84!2e4!3e11!6s%2F%2Flh5.googleusercontent.com%2F-4Vux5Xshe9s%2FVc6HIR7LmJI%2FAAAAAAAAlnU%2F3VIyV9oGa84%2Fw203-h101-n-k-no%2F!7i10240!8i5120!4m7!1m4!3m3!1s0x89c2f63e42410075:0x320cd179c274aca2!2sBuell+Hall,+New+York,+NY+10027!3b1!3m1!1s0x89c2f63e42410075:0x320cd179c274aca2"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe> ","<i>We Have Only This Life to Live: Selected Essays of Jean-Paul Sartre, 1939–1975</i> by Jean-Paul Sartre, 2013","In 1945, Jean-Paul Sartre christened his arrival to the United States with a lecture in Columbia Unviersity's Maison Française, arguing “literature is no fancy activity independent of politics.” Sartre, acclaimed existentialist philosopher and playwritght, lived in New York City while writing for <i>Combat</i>, the preeminent newspaper of the French Resistance.","I had to get used to it, but now that I have, nowhere do I feel freer than amid the crowds of New York. This light, ephemeral city, which every morning and evening, beneath the curious rays of the sun, seems a mere juxtaposition of rectangular parallelepipeds, never opposes or depresses. You can feel the anguish of solitude here, but not of being crushed. ",,
,,Alone Together ,6th St & 1st Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447104239423!6m8!1m7!1slcqSErsPCV0QZHZEQW5C5g!2m2!1d40.7263747!2d-73.9861706!3f80.13223852435726!4f-2.1885510196892426!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","“Growing Up Unrented on the Lower East Side,"" by Edmund Berrigan in <i>New York Calling: From Blackout to Bloomberg,</i> 2007 ",Ted Berrigan was a major figure in New York School poetry. Grab a donut at Dunkin' Donuts in his memory. ,"What moves me most, I guess<br> of a sunlit morning<br>is being alone<br>with everyone I love<br>crossing 6th and 1st<br>at ice-cold 6 a.m.<br>from where I come home<br>with two French donuts, Pepsi and <br>the New York Times.",,
,126&127,Alone Together,51st St & 3rd Avenue,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447153784607!6m8!1m7!1scMJciFIhagFqivG3Xsnkxw!2m2!1d40.7564542!2d-73.9703087!3f93!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Breakfast at Tiffany’s: A Short Novel and Three Stories</i> by Truman Capote, 1958",,"Another night, deep in the summer, the heat of my room sent me out into the streets. I walked down Third Avenue to Fifty-first Street, where there was an antique store with an object in its window I admired: a palace of a bird cage, a mosque of minarets and bamboo rooms yearning to be filled with talkative parrots. But the price was three hundred and fifty dollars.","Another night, deep in the summer, the heat of my room sent me out into the streets. I walked down Third Avenue to Fifty-first Street, where there was an antique store with an object in its window I admired: a palace of a bird cage, a mosque of minarets and bamboo rooms yearning to be filled with talkative parrots. But the price was three hundred and fifty dollars. On the way home I noticed a cab-driver crowd gathered in front of P. J. Clark’s saloon, apparently attracted there by a happy group of whiskey- eyed Australian army officers baritoning, “Waltzing Matilda.” As they sang they took turns spin-dancing a girl over the cobbles under the El; and the girl, Miss Golightly, to be sure, floated round in their, arms light as a scarf. ",
,,Alone Together,233 Broadway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447153815212!6m8!1m7!1sT-x_5LeawHxTwkrLg9-iFw!2m2!1d40.71226288177333!2d-74.00789658751428!3f284!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Art of the City</i> by Peter Conrad, 1984",,"Hart Crane arranges a landscape of impressionist imprecision inside
the frame of his window: “At twilight on a foggy evening ... it is beyond description,” he says of the harbor—beyond description because beyond perception, atmospherically smudged, the top of the Woolworth Building swallowed by a cloud.",,
,152,Alone Together,46th St & Park Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447119362031!6m8!1m7!1syMtKHW2va7LAZc1VMMkevg!2m2!1d40.7547305!2d-73.9759044!3f126.61!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hecht,"The Helmsley Building, which scoops up Park Avenue at this intersection, was built by New York Central Railroad. Now more than 2 billion passengers every year escape New York on the rails beneath the street.","I was gripped by the horror at the thought of what it would be like to stroll aimlessly through this part of Manhattan. Always have a purpose and walk rapidly between appointments, to work, and on errands. In this way you cannot be overwhelmed, overtaken, enveloped by the mammoth emptiness of square grey spaces and buildings. ","I was gripped by the horror at the thought of what it would be like to stroll aimlessly through this part of Manhattan. Always have a purpose and walk rapidly between appointments, to work, and on errands. In this way you cannot be overwhelmed, overtaken, enveloped by the mammoth emptiness of square grey spaces and buildings. Your tiny remnant of a soul, crushed into a minute fragment of itself by traveling the streets of New York—your soul can’t be obliterated if you keep walking. Walk briskly, ride, escape if it’s over fifty degrees, wear dark glasses if the sun is out, stay near Central Park on the Upper East Side, never go to a business district on weekends, never even bein New York on the weekend. Even a Friday is not safe—don’t let yourself try to imagine what it would feel like to be on Park Avenue and Forty-sixth Street on a Sunday in the summer. You would be the only one there—maybe a lost tourist or a derelict in some state of delirium tremens would be someone to share the empty corner with.",
