Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,,Cinematic New York,,,,Lee and Jones,"Mookie stares at the gold “brass knuckles” rings Radio Raheem wears on each hand. Spelled out across the rings are the words “LOVE” on the right hand and “HATE” on the left hand.",,
,88,Cinematic New York,1 West 72nd Street.,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022911095!6m8!1m7!1ssOiD0RVUNd1Q2wUthLEMoQ!2m2!1d40.77610854196508!2d-73.9760366069169!3f328!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hawes,,"Bette Davis’s penthouse loft in <i>Deception</i>, all skylight view and grand piano, is said to be modeled on Leonard Bernstein’s first New York loft apartment.",,
,54,Cinematic New York,TBD,,Sanders,,"The skyline view is a kind of proscenium, after all, a metaphoric arch framing everything to come, offering a reassuring familiarity even as it plunges us into a new and unpredictable experience.","The skyline view is a kind of proscenium, after all, a metaphoric arch framing everything to come, offering a reassuring familiarity even as it plunges us into a new and unpredictable experience. How many places are as widely (or instantly) recognizable as New York? Older films sometimes placed a printed title across the view; newer ones rarely do—but in any case the name has always been superfluous. Like Big Ben or the Taj Mahal, the New York skyline is one of the world’s unmistakable icons, thanks in large part to films themselves: each new opening shot trades on—and reinforces—the skyline’s preexisting fame. Unlike those other icons, though, the skyline carries civic as well as national significance, standing for a city as much as (or more than) a country. And unlike the others it is not just a single structure but an entire place—the very thing, in fact, being symbolized. The Eiffel Tower denotes Paris; the skyline not only denotes but is New York.<br><br>Of course, the skyline also denotes something else: the “big city,” the endless metropolis. This turns out to be less a function of the skyline’s vertical thrust, surprisingly, than its horizontal spread: its hundreds upon hundreds of buildings, with their thousands upon thousands of windows— each window providing the symbolic marker of an individual and so, by extension, an individual story. Over the next few hours, the skyline vista suggests, we will follow one such story—but we might well have turned to some other window and there found another, equally interesting story to watch. Next time, perhaps. There are, the skyline proposes, millions of stories to choose from—a whole city of stories, all proceeding at once, whether we happen to see them or not.<br><br>Some establishing shots try for more, searching the skyline for clues about the story to come. The image that starts <i>Young Man with a Horn</i> (1950) gazes high up at the Chrysler Building, soaring into the sky as confidently as the jazz trumpeter on the soundtrack rises into his upper register. But soon the camera begins to tilt down, descending roof by roof to the modest tenement apartment of piano player Hoagy Carmichael, the film’s narrator. This turns out to be a sketch of the film itself—a struggle between the transcendent “high note” that cornetist Kirk Douglas dreams of reaching and the worldly complexities of life and love that threaten to wreck his career. An identical shot, opening <i>Miracle in the Rain</i> (1956), offers a simpler meaning: New York, as the narrator tells us, is home to not only the high and mighty (the skyscrapers) but to millions of ordinary people—including Jane Wyatt, a tenement dweller who is the film’s romantic lead. Barbara Stanwyck’s smoky voice—over at the opening of 1949’s “East Side, West Side” “Yes, this is my town ... the most exciting city in the world, they say, the (glamorous, the most frightening, and above all, the fastest ... ”) underpins a glide from the sleek towers of midtown to a modest apartment house on Gramercy Park (“for me, it’s home”), again evoking the distinction between the celebrated and the ordinary—and the city’s embrace of both.<br><br>The same kind of movement is elsewhere turned to very different purpose. Among other things, the New York skyline remains an abiding symbol
of American wealth and power; an opening that shifts from the gleaming spires to a slum district effectively reminds the audience that the wretched conditions they will be sharing over the next few hours are to be found not in some obscure locality but in proximity to a national landmark. Over time, the simple tilt or pan from proud skyscrapers in the distance to shabby tenements nearby (in <i>Street Scene</i>, 1931, and <i>The Window</i>, 1949) has given way to the ambitious, planimetric aerial shots that open <i>West Side Story</i> (1961) and <i>
New Jack City</i> (1991), which, surveying all part of New York from above—as
if through a giant microscope—imply a kind of social-science objectivity, linking the city’s riches and poorest districts in a single socioeconomic system. ",
,124,Cinematic New York,W 9th St ,,Conrad,,"<i>Rear Window</i> is set on a fictitious 125 West 9th Street, nonexistent because West 9th has a career of only a single block.",,
,310,Cinematic New York,,,Sharpe,,"In 1910, the famous Roman Chariot Race sign debuted atop the Hotel Normandie at Broadway and Thirty-eighth Street. The thirty-second show, at seven stories high and ninety feet wide, was astonishing enough to stop traffic. Twenty thousand incandescent bulbs gave the impression of toga’d drivers snapping their whips over galloping horses as the wheels of their chariots spun through the night. Like Oscar Wilde at the New York Customs office, the sign had nothing to declare except its own genius. It sold nothing, but advertisers—up to ten in a minute—could bask in the glory of the spectacle by time-sharing a space for their names on the top of the billboard. Chariots came back to Broadway in 1925 when the first neon tubes were used to advertise the movie <i>Ben-Hur.</i>",,
,217,Cinematic New York,67 W 35th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446477326313!6m8!1m7!1sAyAfVXTL8jA3BPU-pxb2Sw!2m2!1d40.75025290793637!2d-73.98678599293832!3f222!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","POPism: The Warhol '60s by Andy Warhol, 1980",,The big nude theater craze hit in ’69. It was only the year before that police had stood by in San Francisco to arrest the Living Theater performers if they so much as started taking their clothes off. ,The big nude theater craze hit in ’69. It was only the year before that police had stood by in San Francisco to arrest the Living Theater performers if they so much as started taking their clothes off. Then all of a sudden the new thing was for performers to take all their clothes off and dance around completely naked on stage in long-playing well-advertised shows like <i>Oh! Calcutta!</i> and <i>Dionysus in ’69.</i>,
,164,Cinematic New York,,,Tallack,,"On his visit to New York in 1930, Sergei Eisenstein found numbered streets confusing or else he could not remember addresses full of numbers. And so he attached images to the streets and street corners. He then found that, armed with his images, the rectangular, numerical experience of walking New York, and the shocks and collisions of its intersections, confirmed and refined his theory of cinematic montage. ",,
,13,Cinematic New York,11th St & Avenue A,,Luc Sante,,"One day, probably early in 1980, a film crew commandeered Eleventh Street between Avenues A and B and, with minimal adjustments, returned the block to the way it had looked in 1910. ","One day, probably early in 1980, a film crew commandeered Eleventh Street between Avenues A and B and, with minimal adjustments, returned the block to the way it had looked in 1910. All they did was to pull the plywood coverings off storefront windows, paint names in gold letters on those windows, and pile goods up behind them. They spread straw in the gutters and hung washlines across the street. They fitted selected residents with period clothes and called forth a parade of horse-drawn conveyances. <br><br>When I walked down that street at night, with all the trappings up but the crew absent, I felt like a ghost. The tenements were aspects of the natural landscape, like caves or rock ledges, across which all of us—inhabitants, landlords, dope dealers, beat cops, tourists—flitted for a few seasons, like the pigeons and the cockroaches and the rats, barely registering as individuals in the ceaseless churning of generations.",
,,Cinematic New York,,,Fritscher,,"Susan Strasberg once said that she and her friend Marilyn Monroe were walking down Fifth Avenue and no one noticed them. <br>
Marilyn, who was studying at Lee Strasberg’s Actor’s Studio, said to Susan, “Do you want them to see me do her?”<br>
The private Norma Jean, standing on the street, adjusted her posture, her walk, and her face. 
Suddenly she was mobbed.<br>",,
,,Cinematic New York,,,Conrad,,"King Vidor, making <i>The Crowd</i> in New York in 1928, hides the camerainside a barricade of packing crates on a corner or mounted it on the backof a truck from where it peers out through a hole in the flap. Vidor loiters alongside, posing as an idler on the street, and mutters his instructions to the cameraman under cover. ",,
