Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,172,Alone Together,"The Ramble, Central Park","<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447105223967!6m8!1m7!1sWIcRxyhmHmGF5tTKPfJvyw!2m2!1d40.77641238373387!2d-73.96939730898781!3f334.0071113833601!4f66.56657011378456!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"," “Negative Space"" by Thomas Beller from <i>Central Park: An Anthology</i>, 2012",Thomas Beller is a lifelong New Yorker.,"You become a connoisseur of negative space. These spaces are refuges, tiny oases, sought after, multipurpose. They are meditative temples. They are moments of rest. Where nothing is happening. These places become little pockets of possibility. They are unidentified, off the grid, the staging areas for trysts, seductions, encounters. They are the places where crimes are committed, of one kind or another. The most conspicuous, hiding-in-plain- sight negative space in New York is Central Park. ",,
,156,Alone Together,Central Park,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447149888328!6m8!1m7!1sr38xYcj57GUrWzZz5M-wUg!2m2!1d40.76824309961073!2d-73.97566405865503!3f19!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""Fogg in the Park"" by Paul Auster from <i>Central Park: An Anthology</i>, 2012",Paul Auster's <i>Fogg in the Park</i> is a meditation on the two extremes of Manhattan—the hustle of the streets and the tranquility of Central Park.,"In the streets, everything is bodies and commotion, and like it or not, you cannot enter them without adhering to a rigid protocol of behavior. To walk among the crowd means never going faster than anyone else, never lagging behind your neighbor, never doing anything to disrupt the flow of human traffic. If you play by the rules of this game, people will tend to ignore you. ","In the streets, everything is bodies and commotion, and like it or not, you cannot enter them without adhering to a rigid protocol of behavior. To walk among the crowd means never going faster than anyone else, never lagging behind your neighbor, never doing anything to disrupt the flow of human traffic. If you play by the rules of this game, people will tend to ignore you. There is a particular glaze that comes over the eyes of New Yorkers when they walk through the streets, a natural and perhaps necessary form of indifference to others. It doesn’t matter how you look, for example. Outrageous costumes, bizarre hairdos, T-shirts with obscene slogans printed across them—no one pays attention to such things. On the other hand, the way you act inside your clothes is of the utmost importance. Odd gestures of any kind are automatically taken as a threat. Talking out loud to yourself, scratching your body, looking someone directly in the eye: these deviations can trigger off hostile and sometimes violent reactions from those around you. You must not swagger or swoon, you must not clutch the walls, you must not sing, for all forms of spontaneous or involuntary behavior are sure to elicit stares, caustic remarks, and even an occasional shove or kick in the shins. I was not so far gone that I received any treatment of that sort, but I saw it happen to others, and I knew that a day might eventually come when I wouldn’t be able to control myself anymore.",
,197,Learning to Read New York,E 65th St & 3rd Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446476404557!6m8!1m7!1sSw222LLXo0_Z43mzb0fhVQ!2m2!1d40.76503120424923!2d-73.96404982318785!3f34!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""In History's Vicinity"" by Richard Bowes from <i>Best Gay Stories 2010</i>",Richard Bowes reminisces on his trek on Friday afternoons in 1965 to see his psychiatrist on the Upper East Side,"I’d walk down Third Avenue. In the East Sixties, guys stood casually on street corners, paused significantly in doorways, gave sidelong glances: all very discreet. Eyes tracked me from the windows of the bird bars ... In those bars Piaf sang on the jukebox, men in suits sat at the bar ...","I’d walk down Third Avenue. In the East Sixties, guys stood casually on street corners, paused significantly in doorways, gave sidelong glances: all very discreet. Eyes tracked me from the windows of the bird bars ... In those bars Piaf sang on the jukebox, men in suits sat at the bar ... Down the Avenue from the bars at Fifty-Third and Third was a world famous chicken run. Young boys stood in the cold in sneakers and thin jackets, waited under awnings, stared out the windows of seedy coffee shops and knew just who I was.",
,196-197,Scene,53rd St between 3rd Ave and Lexington,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446476276451!6m8!1m7!1skd3AN9KPu5fSqrAPAm754g!2m2!1d40.75813333212459!2d-73.97042709851337!3f57!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""In History's Vicinity"" by Richard Bowes from <i>Best Gay Stories 2010</i>",,"The Bird Circuit of gay bars: The Blue Parrot on Fifty-third between Third and Lexington, the Golden Pheasant on Forty-eighth Street, the Swan—all in the neighborhood of the Third Avenue El. ","The Bird Circuit of gay bars: The Blue Parrot on Fifty-third between Third and Lexington, the Golden Pheasant on Forty-eighth Street, the Swan—all in the neighborhood of the Third Avenue El. The East Side bars tended to be dressy, and their customers were conservatively dressed in bow ties, blazers, or fluffy sweaters. The “bird bars” usually started coming to life between eleven-thirty and midnight when the plays let out. Often the men in the bar could be found shoulder to shoulder dancing, singing tunes from such Broadway musicals as South Pacific or Kiss Me, Kate in unison with the jukebox.",
,197,x,E 52nd St between 3rd and 2nd Aves,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446475415437!6m8!1m7!1sCRz9gs5-ZPDNXbtlpGjmQA!2m2!1d40.75652234261718!2d-73.96853910084147!3f44!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""September 1, 1939"" by W.H. Auden ","Auden wrote this poem in the first days of World War II in a New York City gay bar. E. M. Forster, in awe of ""September 1, 1939"" upon publication writes, ""Because he once wrote 'We must love one another or die' he can command me to follow him.""  ","I sit in one of the dives<br>
On Fifty-second Street<br>
Uncertain and afraid<br>
","I sit in one of the dives<br>
On Fifty-second Street<br>
Uncertain and afraid<br>
<br><br>
As the clever hopes expire<br>
Of a low dishonest decade:<br>
Waves of anger and fear<br>
Circulate over the bright <br>
And darkened lands of the earth,<br>
Obsessing our private lives;<br>
The unmentionable odour of death<br>
Offends the September night.<br>
<br><br>
Accurate scholarship can <br>
Unearth the whole offence<br>
From Luther until now<br>
That has driven a culture mad,<br>
Find what occurred at Linz,<br>
What huge imago made<br>
A psychopathic god:<br>
I and the public know<br>
What all schoolchildren learn,<br>
Those to whom evil is done<br>
Do evil in return. <br>
<br><br>
Exiled Thucydides knew<br>
All that a speech can say<br>
About Democracy,<br>
And what dictators do,<br>
The elderly rubbish they talk<br>
To an apathetic grave;<br>
Analysed all in his book,<br>
The enlightenment driven away,<br>
The habit-forming pain,<br>
Mismanagement and grief:<br>
We must suffer them all again.<br>
<br><br>
Into this neutral air<br>
Where blind skyscrapers use<br>
Their full height to proclaim<br>
The strength of Collective Man,<br>
Each language pours its vain<br>
Competitive excuse:<br>
But who can live for long<br>
In an euphoric dream;<br>
Out of the mirror they stare,<br>
Imperialism’s face<br>
And the international wrong.<br>
<br>
Faces along the bar<br>
Cling to their average day:<br>
The lights must never go out,<br>
The music must always play,<br>
All the conventions conspire <br>
To make this fort assume<br>
The furniture of home;<br>
Lest we should see where we are,<br>
Lost in a haunted wood,<br>
Children afraid of the night<br>
Who have never been happy or good.<br>
<br><br>
The windiest militant trash<br>
Important Persons shout<br>
Is not so crude as our wish:<br>
What mad Nijinsky wrote<br>
About Diaghilev<br>
Is true of the normal heart;<br>
For the error bred in the bone<br>
Of each woman and each man<br>
Craves what it cannot have,<br>
Not universal love<br>
But to be loved alone.<br>
<br><br>
From the conservative dark<br>
Into the ethical life<br>
The dense commuters come,<br>
Repeating their morning vow;<br>
“I will be true to the wife,<br>
I’ll concentrate more on my work,""<br>
And helpless governors wake<br>
To resume their compulsory game:<br>
Who can release them now,<br>
Who can reach the deaf,<br>
Who can speak for the dumb?<br>
<br><br>
All I have is a voice<br>
To undo the folded lie,<br>
The romantic lie in the brain<br>
Of the sensual man-in-the-street<br>
And the lie of Authority<br>
Whose buildings grope the sky:<br>
There is no such thing as the State<br>
And no one exists alone;<br>
Hunger allows no choice<br>
To the citizen or the police;<br>
We must love one another or die.<br>
<br><br>
Defenceless under the night<br>
Our world in stupor lies;<br>
Yet, dotted everywhere,<br>
Ironic points of light<br>
Flash out wherever the Just<br>
Exchange their messages:<br>
May I, composed like them<br>
Of Eros and of dust,<br>
Beleaguered by the same<br>
Negation and despair,<br>
Show an affirming flame.<br>
",
,585,Landmarks,Manhattan Bridge,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024503472!6m8!1m7!1sppkgjv-RoG0KKzwhSgnxlg!2m2!1d40.70702792793145!2d-73.99036895060463!3f265!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""Tuli Kupferberg,"" <i>Wikipedia</i>","In <i>Howl</i> Ginsberg describes Kupferberg as the person ""who jumped off the Brooklyn Bridge and walked away unknown and forgotten into the ghostly daze of Chinatown"". ","Ginsberg’s description in <i>Howl</i> is fictional ... Tuli Kupferberg did jump from the Manhattan Bridge in 1944, after which he was picked up by a passing tugboat and taken to Gouvernor Hospital. Severely injured, he had broken the transverse process of his spine and spent time in a body cast. He told Thelma Blitz he feels it’s important that people don’t think they can emulate this leap and walk away unscathed as the poetic accounts suggest he did.","Ginsberg’s description in <i>Howl</i> is fictional ... Tuli Kupferberg did jump from the Manhattan Bridge in 1944, after which he was picked up by a passing tugboat and taken to Gouvernor Hospital. Severely injured, he had broken the transverse process of his spine and spent time in a body cast. He told Thelma Blitz he feels it’s important that people don’t think they can emulate this leap and walk away unscathed as the poetic accounts suggest he did.<br><br>I asked Tuli Kupferberg once, “Did you really jump off of the Manhattan Bridge?” “Yeah,” he said, “I really did.” “How come?” I said. “I thought that I had lost the ability to love,” Tuli said. “So, I figured I might as well
be dead. So, I went one night to the top of the Manhattan Bridge, & after a few minutes, I jumped off.” “That’s amazing,” I said. “Yeah,” Tuli said, “but nothing happened. I landed in the water, & I wasn’t dead. So I swam ashore, & went home, & took a bath, & went to bed. Nobody even noticed.”<br><br>The bridge, he said, “emerges victorious,” subjugating the hellish “fluvial abyss” of the torrent beneath.",
,218,x,Union Square,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446479746081!6m8!1m7!1sDh5dFa-fjmziHAreE79Rxw!2m2!1d40.73566201106162!2d-73.98974931723453!3f235!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""Union Square"" by Sara Teasdale, <i>The Collected Poems of Sara Teasdale</i> 1937",,"With the man I love who loves me not,<br>
      I walked in the street-lamps' flare;<br>
We watched the world go home that night<br>
      In a flood through Union Square.<br>
","With the man I love who loves me not,<br>
      I walked in the street-lamps' flare;<br>
We watched the world go home that night<br>
      In a flood through Union Square.<br><br>

I leaned to catch the words he said<br>
      That were light as a snowflake falling;<br>
Ah well that he never leaned to hear<br>
      The words my heart was calling.<br><br>

And on we walked and on we walked<br>
      Past the fiery lights of the picture shows —<br>
Where the girls with thirsty eyes go by<br>
      On the errand each man knows.<br><br>

And on we walked and on we walked,<br>
      At the door at last we said good-bye;<br>
I knew by his smile he had not heard<br>
      My heart's unuttered cry.<br><br>

With the man I love who loves me not<br>
      I walked in the street-lamps' flare —<br>
But oh, the girls who ask for love<br>
      In the lights of Union Square.<br>",
,,Arts & Letters,112 E 52nd St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447018070593!6m8!1m7!1sWkaN7_qIwmrcpT885OVlvQ!2m2!1d40.75817114188963!2d-73.97244480014545!3f36.89!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","“Four Seasons Restaurant,” <i>Wikipedia</i>","The <a href=""http://stuartmorris.co.uk/blog/2014/10/mystery-behind-rothkos-seagram-murals/"">Seagram Murals</a> never hung in the Four Seasons. Rothko renounced his contract in 1959 and refused to give the paintings to the restaurant.","Mark Rothko was engaged to paint a series of works for the restaurant in 1958. Accepting the commission, he secretly resolved to create “something that will ruin the appetite of every son-of-a-bitch who ever eats in that room.”",,
,454,Arts & Letters,Shea Stadium,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447020257848!6m8!1m7!1s_x68R0tICKTr-gT8QjlkaA!2m2!1d40.75743243983212!2d-73.84878984053076!3f91!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","“Samuel Beckett Attends a Doubleheader.” <i>Lapham’s Quarterly,</i> 2014.",Beckett's Waiting for Godot (1953) flopped in the United States until it was staged in New York City. The play is now Becektt's most celebrated work. ,"During his first trip to New York City in 1964, Samuel Beckett went to a doubleheader at Shea Stadium with his friend Dick Seaver, who explained the game of baseball to the Irish writer. Halfway through the second game, Seaver asked, “Would you like to go now?” To which Beckett replied, “Isthe game over, then?” “Not yet,” said Seaver. Beckett concluded, “We don’t want to go then before it’s finished.” The Mets won both games, unlike their double loss two months earlier in what had been the longest doubleheader in Major League history, clocking in at nine hours and fifty-two minutes.",,
,111,Alone Together,594 Broadway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447106154523!6m8!1m7!1spK82INY5EDOxZ4_oZpPDeg!2m2!1d40.72497766169104!2d-73.99714672602924!3f108.0880003975927!4f-5.288259996895789!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","“Vito Acconci’s Following Piece"" by J. P. McMahon, 2014","The work of Vito Aconcci, a New York-based performance and installation artist, frequently explored the role of individual bodies in public space. Representative of the revolutionary 1960s performance art world, Aconcci's 1969 <i>Following Piece</i> was part of the influential Architectural League of NY's Streetworks, which called 594 Broadway home. In Aconcci's words, ""I am almost not an 'I' anymore; I put myself in the service of this scheme.""","<i>Following Piece</i>, potentially, could use all the time allotted and all the space available: I might be following people, all day long, every day, through all the streets in New York City. In actuality, following episodes ranged from two or three minutes when someone got into a car and I couldn’t grab a taxi, I couldn’t follow—to seven or eight hours—when a person went to a restaurant, a movie.",,
