Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,,Ghost Town,206 E 7th St ,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024818994!6m8!1m7!1s6Rb_R3ZTKHHOjOEWz0WrwQ!2m2!1d40.72457020501854!2d-73.98005843375249!3f196!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Ginsberg,"Ginsberg lived with William Burroughs in the East Village the year he wrote ""Howl.""",Moloch! Moloch! Robot apartments! invisible suburbs! skeleton treasuries! blind capitals! demonic industries! spectral nations! invincible madhouses!,,
,,Ghost Town,408 12th Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447021858272!6m8!1m7!1s1V1I0SdC0KS17GjzoqUf5Q!2m2!1d40.7599844!2d-74.0030707!3f303.10064121770955!4f-7.531734583496359!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Trebay,"In 1988, New York City's Department of Sanitation removed an average of 406 cars a day, 17 every hour, one every three and a half minutes. ","Like most dead things in New York, abandoned cars have their own municipal Charons.",,
,,Ghost Town,,,Conrad,"On April 25, 1865, Whitman stood among the crowd in front of City Hall where Lincoln’s body had lain in state.  Whitman's elegy on the death of Lincoln, <a href=""http://www.whitmanarchive.org/published/LG/1891/poems/193"">""When Lilacs Last in the Dooryard Bloom'd""</a> was included in the 1865 edition of <i>The Leaves of Grass.</i>","The ghost of Whitman still presides. He sits naked, bearded, wearing a sun hat, and watches the gymnastic revels of a crowd he might have invented. ",,
,,Ghost Town,Sheridan Square ,,Talese,Philip Sheridan in Sheridan Square (didn't die in battle),"When an equestrian statue of a general has both front hoofs off the ground, it means the general died in battle; if one hoof is off the ground, he died of wounds received in battle. ",,
,,Ghost Town,35th St & 11th Ave,,Caro,Seth Low died at 35th St & 11th Ave (7 years old) http://www.nytimes.com/2011/12/25/realestate/the-railroad-tracks-that-turned-a-street-into-death-avenue.html,"The railroad tracks wended their way between the buildings, making several sharp curves, and then emerged on Eleventh Avenue along which, at street level, trains inched their way in a straight line down to the foot of the island. In front of every train, to warn pedestrians and drives, rode a cowboy on a horse, waving a large red flag. Since the trains came at frequent intervals and moved extremely slowly along the avenue, traffic was frequently backed up for blocks. Often, a driver would become impatient and ignore the warning flag. For that reason, Eleventh had become known as “Death Avenue.” For years, the city had tried without success to find a solution to the problem posed by the presence of the railroad along the West Side.",,
,418,Ghost Town,302 West 11th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447021271854!6m8!1m7!1sZYPWH-RETfpHidjsvEpD6Q!2m2!1d40.73582577635537!2d-74.00610519607727!3f198!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Caldwell,"The poet Dylan Thomas died in New York's White Horse Tavern. His famous last words: ""I've had 18 straight whiskies......I think that's the record.""  He was 39 years old. ","In recollections of the 1950s, in films, and in photographs, perhaps the most striking feature of Manhattan that emerges again and again is its emptiness—the abandoned look of even its most important arteries. Third and Sixth Avenues had the excuse of sudden exposure after decades under the shadow, soot, and screech of their elevated lines.","In recollections of the 1950s, in films, and in photographs, perhaps the most striking feature of Manhattan that emerges again and again is its emptiness—the abandoned look of even its most important arteries. Third and Sixth Avenues had the excuse of sudden exposure after decades under the shadow, soot, and screech of their elevated lines. But much of the rest of New York looked similar—beaten up and exhausted by hard use.<br><br>This comes out most poignantly in photographic records of Greenwich Village. The streets are void of traffic, both vehicular and pedestrian: parking spaces abound; the signs are handmade and amateurish. Café and restaurant interiors resemble grammar school classrooms, a clutter of junk and a creativity more childish than avant-garde. Exteriors seem forgotten, embalmed: in a 1960 photo of the White Horse Tavern on Hudson Street, now a sidewalk café overrun by models and stockbrokers, looks like what it then really was: a seedy bar on the corner of fire escapes and walkup apartments.",
,28,Ghost Town,Cortlandt Street Subway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022509466!6m8!1m7!1swhkzUYlvUWZABWonXuyTcw!2m2!1d40.71021705068965!2d-74.01081922411382!3f33!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Solis,,"During the excavations for the Cortlandt Street subway station in 1916, the workers suddenly came across the remains of an old vessel, a ship that arrived from the Netherlands in 1613. ","During the excavations for the Cortlandt Street subway station in 1916,the workers suddenly came across the remains of an old vessel, a shipthat arrived from the Netherlands in 1613. Part of the ship obstructing the subway dig was salvaged. The remainder, along with the other old artifacts (a cannon ball, tools, pipes, shards) were reburied. Although archaeologists were assigned to look for the vessel when the area was excavated again during the construction of the World Trade Center, they were unable to locate the rest of the ship.",
,36,Ghost Town,Trinity Church,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022402806!6m8!1m7!1skCRyNpH5iGjjwJahFnyj6A!2m2!1d40.70788964422579!2d-74.01162495237251!3f292!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Risenberg and Alland,,It’s difficult to see in the Manhattan of today any trace of that primeval island. But not impossible.,"It’s difficult to see in the Manhattan of today any trace of that primeval island. But not impossible. Perhaps the place to start is with a pair of trees: two gaunt pines growing close together, just west of Broadway, in the south graveyard of Trinity Church. Almost hidden in the corner between the walls of the church and the sacristy, they’re nearly always in shadow. But at the right time, seen from the right vantage point, they make it possible to imagine the island of the Lenape and the earliest Dutch, surviving spectrally amidst four centuries of development.<br><br>Standing at the corner of Broadway and Rector Street on a clear late winter afternoon, these pines loom starkly against the brown stones of the church. The steeple rises above, and above that an expanse of sky. When darkness falls, the pines sink gradually into the shadows between the church and attached chapel, the spire and the buttress in sharp relief behind. Ignore the skyscrapers (easily done from there) and you see something that would have been there in 1700. In darkness the brownstone church loses its shape: imagine it gone (the original church opened in 1697), multiply the pines in your imagination, and you see it as it was even in 1650—a graveyard, among the earliest in New Amsterdam.",
,36,Ghost Town,TBD,,Moscow,,The last relics of the a primeval forest that blanketed Manhattan when the white man first arrived survive precariously on forty acres along the Bronx River gorge in the South Bronx.,"The last relics of the a primeval forest that blanketed Manhattan when the white man first arrived survive precariously on forty acres along the Bronx River gorge in the South Bronx. The trees, stately Canadian hemlocks, rise on one of the few sites in the nation that have never been logged. The virgin forest dates back to the end of the Ice Age some 20,000 years ago.",
,39,Ghost Town,93rd St & Park Avenue,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022307371!6m8!1m7!1sVNLDM6NRfsHOiIfv8sYppQ!2m2!1d40.78459277643448!2d-73.95386185199534!3f300!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Trebay,,"From Park Avenue at 93rd Street, Manhattan drops away in geologic, economic, and spiritual degrees. On that spot the city’s ancient bedrock rises to one of its highest points. ","From Park Avenue at 93rd Street, Manhattan drops away in geologic, economic, and spiritual degrees. On that spot the city’s ancient bedrock rises to one of its highest points. To the west shine the sycamores in the park and the Eldorado’s lights. Southward lies the magisterial city, flanking the broad, solemn avenue with Harry Helmsley’s flashing gilding at its foot. To the east there is a hill banded by the gray river; as you descend it, the granite facades become brownstone and then red brick and yellow, and the doormen and fine food shops disappear.",
,170,Ghost Town,Hudson river b/t 39th and 40th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022235271!6m8!1m7!1sI98JGUAwvw8dAhIS8Jco6w!2m2!1d40.76099187842321!2d-74.00218502083133!3f291!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","Morris, Incredible",,"In 1853, foresighted Charles E. Appleby purchased from the city a grant of land then mainly under the waters of the Hudson River between 39th and40th Street. According to the terms of his grant, Appleby was required to fill in streets and build wharves and bulkheads. This work was left undone by Appleby and his heirs. Eventually, the city filled in the area, built streets, constructed piers. As a result, in 1928 Appleby’s descendants sued the city for trespass, and ultimately received more than three million dollars in awards, interest and damages. They still own the property, which today—largely because of the city’s trespass—is valued at more than 150 times what it cost their ancestor.",,
,266,Ghost Town,,,Botkin,,In a high wind tenants sometimes hear ghost “typewriters” tapping away like mad in empty offices—but this is only the building’s steel skeleton creaking and groaning.,,
,619,Ghost Town,,,Davis,,"On the original Black Tuesday in 1929, Lorca, the Andalusian poet wandered through the canyons of Wall Street, watching in amazement as ruined investors flung themselves from windows of monstrous buildings. “The ambulances collected suicides”, he wrote, “whose hands were full of rings.” Amidst the “merciless silence of money,” Lorca “felt the sensation of real death, death without hope, death that is nothing but rottenness.” It was easy, then, for him to visualize the inevitable destruction of lower Manhattan by “hurricanes of gold” and “tumults of windows.”",,
