Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,74&75,Landmarks,Rockefeller Center,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022633716!6m8!1m7!1smAqzaEdB2RaVCUDLqxeEvw!2m2!1d40.75903740793026!2d-73.97838727248853!3f220!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Koolhaas,"In 1962, the center management placed a plaque at the plaza with a list of principles in which John D. Rockefeller, Jr. believed, and first expressed in 1941. It reads:<br><br><i>I believe in the supreme worth of the individual and in his right to life, liberty, and the pursuit of happiness.<br>

I believe that every right implies a responsibility; every opportunity, an obligation; every possession, a duty.<br>
I believe that the law was made for man and not man for the law; that government is the servant of the people and not their master.<br>
I believe in the Dignity of labor, whether with head or hand; that the world owes no man a living but that it owes every man an opportunity to make a living.<br>
I believe that thrift is essential to well ordered living and that economy is a prime requisite of a sound financial structure, whether in government, business or personal affairs.<br>
I believe that truth and justice are fundamental to an enduring social order.<br>
I believe in the sacredness of a promise, that a man's word should be as good as his bond; that character not wealth or power or position – is of supreme worth.<br>
I believe that the rendering of useful service is the common duty of mankind and that only in the purifying fire of sacrifice is the dross of selfishness consumed and the greatness of the human soul set free.<br>
I believe in an all-wise and all-loving God, named by whatever name, and that the individuals highest fulfilment, greatest happiness, and widest usefulness are to be found in living in harmony with His Will.<br>
I believe that love is the greatest thing in the world; that it alone can overcome hate; that right can and will triumph over might.<br></i>",Rockefeller Center is the fulfillment of the promise of Manhattan. All paradoxes have been resolved.<br><br>From now on the Metropolis is perfect.,"Rockefeller Center is the fulfillment of the promise of Manhattan. All paradoxes have been resolved.<br><br>
From now on the Metropolis is perfect.
<br><br>Beauty, utility, dignity and service are to be combined in the completed project. Rockefeller Center is not Greek, but it suggests the balance of
Greek architecture. It is not Babylonian, but it retains the flavor of Babylon’s magnificence. It is not Roman, yet it has Rome’s enduring qualities of mass and strength. Nor is it the Taj Mahal, which it resembles in mass-composition, though in it has been caught the spirit of the Taj—aloof, generous in space, quieting in its serenity.
<br><br>The Taj Mahal lies in solitary grandeur on the shimmering bank of the Jumna River. Rockefeller Center will stand in the mid-stream rush of New York. The Taj is like an oasis in the jungle, its whiteness tense against the gloomy greenness of the forest. Rockefeller Center will be a beautiful entity in the swirling life of a great metropolis—its cool heights standing out against the agitated man-made skyline. And yet the two, far apart in site and surroundings, are akin in spirit.<br><br>
The Taj, in tribute to pure beauty, was designed as a temple, a shrine. Rockefeller Center, conceived in the same spirit of aesthetic devotion, is designed to satisfy, in pattern and in service, the many-sided spirit of our civilization. By solving its own varied problems, by bringing beauty and business into closer companionship, it promises a significant contribution to the city planning of an unfolding future. ",
,5,Landmarks,Empire State Building,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447107392042!6m8!1m7!1sFfwqhdyZR189G6RbXMVxfg!2m2!1d40.74789085310075!2d-73.98498063177706!3f314!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Kingwell,"The Empire State Building is thought have influenced Nazi-architect Albert Speer, who famously advised Hitler to construct massive buildings with traditional load- bearing masonry rather than steel or concrete frames. Such edifices would be longstanding but noble, such that when they eventually crumbled, a thousand years hence, their broken columns and tumbled-down stone walls would convey a message of glorious achievement followed by decay. ","The Empire State embodies its own kind of technotopian dream: not the genocidal Nazi fantasy, of course, but an extended celebration of machine logic and the forces of capital. The building achieves, in its smooth and hygienic Huxleyan fashion, a totalitarian ideal of command and control, the inexorable logic of assembly line and social engineering. The building is all about vertical space, and in Manhattan’s force-grown grid, space is money: upward is not upward for its own sake, but for the sake of possibility and profit. On the cramped Manhattan street plan, there is nowhere else to go, and so the skyscraper was born. The Empire State’s relation to the grid is therefore symbiotic, born of its pressures but also exploiting its conduits, the streets and pipes and gas lines that tangle beneath its surface. It is a node growing, massing, developing in the entire network of power and commodity, rising like a magic tower from sheer force of energy concentrated below.",,
,7,Landmarks,Grand Central Station,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024029342!6m8!1m7!1sbN0bzlWkwZhJ3_JA5CpQZA!2m2!1d40.75683844528157!2d-73.97201017958868!3f3!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Sanders,"James Sanders's <i>Celluloid Skyline</i> is a <a href=""http://www.celluloidskyline.com/main/home.html"">virtual world</a>, book and exhibition that tells the story of two New York Cities: The first is a real city, an urban agglomeration of millions. The second is a mythic city, so rich in memory and association and sense of place that to people everywhere it has come to seem real: the New York of such films such as <i>42nd Street,</i> <i>Rear Window</i>, <i>King Kong</i>, <i>Ghostbusters</i>, <i>Annie Hall</i>, <i>Taxi Driver</i>, and <i>Do the Right Thing</i>. In 2007, Sanders occuped Grand Central Station's Vanderbilt Hall for a public exhibit based on the New York dream world. ","Astronauts from the future discover that the mysterious world on which
they have landed actually sits atop a post-apocalyptic New York—the ruined Grand Central has become the temple for a future race...","Astronauts from the future discover that the mysterious world on which
they have landed actually sits atop a post-apocalyptic New York—the ruined Grand Central has become the temple for a future race; a wide, double staircase serves as the altar. Like Luthor’s lair, this set is not a reconstruction of the real building, but a rather free interpretation that takes advantage
of the enormous familiarity of the station’s design, manifested in details as simple as the shape of an arch or a style of lettering. In such details resides Grand Central’s power as an almost universally recognizable “place,” even as it offers a superb springboard for fantasy. How many other structures could be so universally identified by a few fragments of their graphics?",
,30,Landmarks,439 8th Ave ,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024093338!6m8!1m7!1s0ppaU8sJCz2gDa1bfhxlRw!2m2!1d40.75093389545879!2d-73.99436397878125!3f297!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Berger,"The inscription on the James Farley Post Office in New York reads, ""Neither snow nor rain nor heat nor gloom of night stays these couriers from the swift completion of their appointed rounds."" The USPS, in fact, has no official motto. ","The slogan on the General Post Office on Eighth Avenue is a mistranslation of Herodotus. Herodotus says: “No snow, nor rain, day’s heat, nor gloom hinders their speedily going on their appointed rounds.” ","The slogan on the General Post Office on Eighth Avenue is a mistranslation of Herodotus. Herodotus says: “No snow, nor rain, day’s heat, nor gloom hinders their speedily going on their appointed rounds.” This reference in Herodotus was to Persian couriers who figured in the to-do between the Greeks and the Persians five centuries before Christ. It was translated by William Mitchell Kendall, senior architect for McKim, Meade & White, who designed the building just before WWI as: “NEITHER SNOW, NOR RAIN, NOR HEAT, NOR GLOOM OF NIGHT, STAYS THESE COURIERS FROM THE SWIFT COMPLETION OF THEIR APPOINTED ROUNDS” and boldly added the signature HERODOTUS. The quotation was approved by the Post Office. Kendall, an amateur linguist, combed all the English translations: Rawlinson’s, Macauley’s, Carey’s, but thought they hadn’t quite caught it.",
,34,Landmarks,Queensboro Bridge,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024208166!6m8!1m7!1sXXP4Zdv8EgnhjEWtwcld2w!2m2!1d40.75088117711359!2d-73.93970041293252!3f32!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Lobas,"Like the immigrant taxi driver, Vladmir Lobas, Jay Gatsby and Nick Carraway observe in F. Scott Fitzgerald's <i>The Great Gatsby</i>:  ""The city seen from the Queensboro Bridge,"" Nick says, ""is always the city seen for the first time, in its first wild promise of all the mystery and the beauty in the world""","I glimpsed the Queensboro Bridge as if through a haze or smoke, first an edge, then the top—but which I now suddenly saw whole! ","I glimpsed the Queensboro Bridge as if through a haze or smoke, first an edge, then the top—but which I now suddenly saw whole! It was a PYRAMID, the real thing, resembling those the Egyptians built. Not the mightiest, perhaps, but undoubtedly the last of all the pyramids erected on earth.",
,75,Landmarks,Rockefeller Center,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024250162!6m8!1m7!1smAqzaEdB2RaVCUDLqxeEvw!2m2!1d40.75903740793026!2d-73.97838727248853!3f220!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",koolhaas ,"Rockefeller Center totals over 8,000,000 square feet. It remains private property and open to the public on the whim of its owners. ","Rockefeller Center is the most mature demonstration of Manhattanism’s unspoken theory of the simultaneous existence of different programs on a single site, connected only by the common data of elevators, service cores, columns and external envelope.",,
,78,Landmarks,The Waldorf-Astoria Hotel,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024282953!6m8!1m7!1sx-qClYeWhVIAAAQYn9aSjw!2m2!1d40.7563034000911!2d-73.97288318137282!3f299!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Sanders,"Caroline ""Lina"" Webster Schermerhorn, the new wife of William Astor Jr. moved into the townhouse that was to become the Waldorf-Astoria hotel,  determined who was eligible to be invited to her lavish parties and who was not. The ""not"" included actors, arrivistes, and Jews, no matter how wealthy.","With the Waldorf, the Hotel itself became a movie, featuring the guests as stars and the personnel as a discreet coat-tiled chorus of extras.",,
,113,Landmarks,Pennsylvania Station,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446826725067!6m8!1m7!1sM1OF_4KEQPrUUSqGDpRqgA!2m2!1d40.75031522508235!2d-73.99482505439909!3f84!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hughes,"In his work, Hughes explores the search for meaning in life through the image of the Pennsylvania Train Station in New York City which ""is like some vast basilica of old / That towers above the terror of the dark / As bulwark and protection to the soul.""","Good morning, daddy! <br>
I was born here, he said. <br>
watched Harlem grow <br>
until colored folks spread <br>
from river <br>
to river <br>
across the middle <br>
of Manhattan <br>
out of Penn Station <br>
","Good morning, daddy! <br>
I was born here, he said. <br>
watched Harlem grow <br>
until colored folks spread <br>
from river <br>
to river <br>
across the middle <br>
of Manhattan <br>
out of Penn Station <br>
dark tenth of a nation,<br> 
planes from Puerto Rico, <br>
and holds of boats,<br>
 chico, <br>
up from Cuba Haiti Jamaica, <br>
in buses marked New York <br>
from <br>
Georgia Florida Louisiana <br>
to Harlem Brooklyn the Bronx <br>
but most of all to Harlem <br>
dusky sash acros Manhattan <br>
I've seen them come dark <br>
wondering <br>
wide-eyed <br>
dreaming<br>

out of Penn Station— <br>
but the trains are late.<br>

The gates open—<br>

Yet there're bars <br>
at each gate.<br><br>

What happens <br>
to a dream deferred?<br><br>

Daddy, ain't you heard?<br>",
,165,Landmarks,Brooklyn Bridge,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447107551703!6m8!1m7!1s4YuEH2gPwcT0j7iQFxedYg!2m2!1d40.70830792346313!2d-73.99962238847922!3f130!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Conrad,"When asked about any possible influence from MGM's <i>The Wizard of Oz</i>, Sidney Lumet, director of <i>The Wiz</i> stated that ""there was nothing to be gained from [the 1939 film] other than to make certain we didn't use anything from it. They made a brilliant movie, and even though our concept is different — they're Kansas, we're New York; they're white, we're black, and the score and the books are totally different — we wanted to make sure that we never overlapped in any area.""","In <i>The Wiz</i> (1978) the yellow brick road is rerouted across the Brooklyn Bridge to the World Trade Center.",,
,168,Landmarks,Solomon R. Guggenheim Museum,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024313360!6m8!1m7!1s1k-97t9vD_aFySTF3FAR_w!2m2!1d40.78311216583699!2d-73.95925382945138!3f122!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Gopnick,"Designed by Frank Lloyd Wright, the Guggenheim's cylindrical building, wider at the top than the bottom, was conceived as a ""temple of the spirit"". ","In New York, even monuments can fade from your mental map under the stress of daily life. I can walk to the Guggenheim if I want to, these days, but in my mind it has become simply a place to go when the coffee shops are too full. Another day, suddenly turning a corner, I discover the old monument looking just as it did the first time I saw it, the amazing white ziggurat on a city block, worth going to see.",,
