Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,197,Learning to Read New York,E 65th St & 3rd Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446476404557!6m8!1m7!1sSw222LLXo0_Z43mzb0fhVQ!2m2!1d40.76503120424923!2d-73.96404982318785!3f34!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""In History's Vicinity"" by Richard Bowes from <i>Best Gay Stories 2010</i>",Richard Bowes reminisces on his trek on Friday afternoons in 1965 to see his psychiatrist on the Upper East Side,"I’d walk down Third Avenue. In the East Sixties, guys stood casually on street corners, paused significantly in doorways, gave sidelong glances: all very discreet. Eyes tracked me from the windows of the bird bars ... In those bars Piaf sang on the jukebox, men in suits sat at the bar ...","I’d walk down Third Avenue. In the East Sixties, guys stood casually on street corners, paused significantly in doorways, gave sidelong glances: all very discreet. Eyes tracked me from the windows of the bird bars ... In those bars Piaf sang on the jukebox, men in suits sat at the bar ... Down the Avenue from the bars at Fifty-Third and Third was a world famous chicken run. Young boys stood in the cold in sneakers and thin jackets, waited under awnings, stared out the windows of seedy coffee shops and knew just who I was.",
,198,Learning to Read New York,149th St & Frederick Douglass Blvd,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446480483209!6m8!1m7!1sQa_WrHp6WyroNoMb-pmMYg!2m2!1d40.8253766!2d-73.9400549!3f17!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>All-Night Party: The Women of Bohemian Greenwich Village and Harlem, 1913-1930</i> by Andrea Barnet, 1993",Carl Van Vechten was a writer and artistic photographer and “patron” of the Harlem Renaissance and the literary executor of Gertrude Stein.,Van Vechten’s flat in Harlem for his affairs with men was painted black with silver stars on the ceiling for nocturnal trysts. ,,
,207,Learning to Read New York,348 Dyckman St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446483982114!6m8!1m7!1saYhlqCUIQkNhgPofXMpMDw!2m2!1d40.86907740312274!2d-73.93156485152963!3f261!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Art of the City</i> by Peter Conrad, 1984",,"A skein of torsos unravels into the Hudson, with a liner passing and the skyscrapers on parade. The bodies might be boys diving; they might just as well be gods thunderously alighting. ",,
,214-215,Learning to Read New York,57th St & Park Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446485036683!6m8!1m7!1ssvTCra9j-WJ9oc2ZrsQuLw!2m2!1d40.7616771666212!2d-73.97089442044418!3f116!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Backward Glances: Cruising the Queer Streets of New York and London</i> by Mark W Turner, 20014",,"Let’s suppose you are in a real city and you are a man and you are walking down the street, in the thick of the crowd. Glancing up from the pavement, for just a moment, you notice a man walking in your direction and he’s staring straight at you. ","Let’s suppose you are in a real city and you are a man and you are walking down the street, in the thick of the crowd. Glancing up from the pavement, for just a moment, you notice a man walking in your direction and he’s staring straight at you. Not every man fixes his stare before his feet at this violet
hour, it seems. You don’t. His stare hits you right between your eyes. And not for the first time. You recognize him. He has looked at you in this way before—and he has seen you see him do this before. Let’s say he is about your age (whatever age that is) and he is wearing a suit, like you. You two could be twins, in the dark.
<br><br>			
You don’t know why, or rather, you don’t at this particular moment ask yourself why, but you hold the gaze of this man who is now walking closer
to you and who refuses not to look. Seconds pass, perhaps as many as five
or six, but it seems like longer. Time slows down for you, as it always does in situations like these. In an instant, the gaze between you two is broken—you look down, or perhaps he looks away. Maybe someone passes between you, or something else diverts your attention. It’s noisy, with the sound of horns and motors, but it could be anything. As quickly as the moment came upon you,
it is lost. Almost. You look back, behind you, and see that he, too, is looking back behind him.	
<br><br>	
You are hurrying ... in order to catch a train because you have a family to go home to, a ready-made microwave meal awaits, probably kids, the lot. You don’t want to be late, not again, not again this week anyway. You look forward to your train journey, because this is your time, your very own time, the time between two lives, someone might say.
<br><br>							
On the train home, settled into your seat, and for reasons you cannot explain to yourself or for reasons you really don’t understand, the man on the street—your man on the street, handsome with a nice suit—comes back into your mind. He was never very far out of your mind, if truth be told. You are going a little red in the cheeks at the thought of it, even now. Did you go red in the cheeks when he was looking at you? Was it the blush of shame or the blush of desire? Do you know the difference between shame and desire? These are questions you could ask yourself, but don’t.
<br><br>							
Instead, you wonder if one day this man will speak to you. Speak to me, you think. Why do you never speak? What are you thinking? I never know what you are thinking.
<br><br>							
Can we talk about a network of cruisers rather than occasional and seemingly isolated, if not accidental, encounters?
<br><br>							
While walking the street, my gaze would be riveted on stalwart adolescents, and I would have to look back at the handsomest that passed. If a street-
car conductor happened to be youthful and good-looking, I became almost irrational. With a look of despair I would gaze insolently and imploringly into the face of the blue-clad youth as if I would compel him to read my thoughts, since I did not dare give them expression. When in a crowded car he brushed against me in passing, a tremor would pass over my body. Youthful policemen also at this time particularly fascinated me. Blue clothing and brass buttons have always made a young man appear to me as at his best.
<br><br>							
“So we are taking off our masks, are we, and keeping / our mouths shut? As if we’d been pierced by a glance”—that later leads us to “the merits of each / of the latrines. 14th Street is drunken and credulous, / 53rd tries to tremble but is too at rest.”
<br><br>							
What does it mean when two men look at each other in the streets of the modern city?
<br><br>							
Mere eye contact and an exchange of words.
<br><br>							
Reciprocal gazes may hold their own pleasures for some, and the dynamics of the gaze may be erotic and stimulating precisely because it does not end in sex.
<br><br>							
This chance encounter—“the magnetism of our meeting.” The cruiser queers the flâneur.
<br><br>							
Cruising is a practice that exploits the ambivalence of the modern city, and in so doing, “queers” the totalizing narratives of modernity, in particular, flânerie.
<br><br>							
There’s an art to cruising and it has a lot to do with timing and with the eyes. Take eyes first. You’re walking down the street and you pass a man going in the opposite direction. Your eyes lock but you both keep on moving. After
a few paces you glance back and see that the man has stopped and is facing a store window but looking in your direction. If he’s not exactly the partner you’re searching for you’ll probably register the compliment his stare is paying you but leave it at that.
<br><br>							
But if he does catch your fancy you may go through the little charade
of examining the shop window nearest you. After a bit, the frequency and intensity of exchanged glances will increase and one of you will stroll over to the other. There are a few safe and stock opening lines banal to the point of absurdity ... After these preliminaries you may extend your hand, introduce yourself, ask him his name and suggest you have a drink together. ",
,204,Learning to Read New York,53 Christopher St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446483759486!6m8!1m7!1siwRAxHGDchmHNu_CPpp9RQ!2m2!1d40.73371104496151!2d-74.00215930823686!3f8!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Christopher and Gay: A Partisan’s View of the Greenwich Village Homosexual Scene</i> by Hamilton Wallace, 1973","The site of the 1969 Stonewall Riots, 53 Christopher Street is a designated Historic Landmark. ","Out of the mass of people on the dance deck, strands of lives reached out in time and place, in anguish or fulfillment or just a quiet gentle drift toward death. Post-Stonewall liberation? What did it mean? ","Out of the mass of people on the dance deck, strands of lives reached out in time and place, in anguish or fulfillment or just a quiet gentle drift toward death. Post-Stonewall liberation? What did it mean? How would the people on the dance deck differ in their lives from those quiet gray-haired gay couples who ghosted around the Village and shared their little amusements during genteel evenings at Carr’s, a West Village gay bar of antique vintage, or at home with the television set and two toy poodles?
<br><br>                                        
... their torments in the city and their ecstasies at Cherry Grove ... their safe haven in a rent-controlled two-bedroom on Charles Street. ",
,209-210,Learning to Read New York,99 Wooster St.,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446484483743!6m8!1m7!1sOmp9JcOBbgynCIQlcNxYEg!2m2!1d40.72447166775434!2d-74.00088465254261!3f308!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Christopher and Gay: A Partisan’s View of the Greenwich Village Homosexual Scene</i> by Hamilton Wallace, 1973","The Gay Activists Alliance was most active from 1970 to 1974. Their New York City headquarters, the Firehouse at 99 Wooster Street in Soho, was occupied in May 1971 and burned down by arsonists on October 15, 1974.",The headquarters of the Gay Activist Alliance was an old firehouse on Wooster Street in SoHo. Dances were held there on Saturday nights as a manifest of “Our Place” as opposed to the Mafia-run gay bars in other parts of the city. ,"The headquarters of the Gay Activist Alliance was an old firehouse on Wooster Street in SoHo. Dances were held there on Saturday nights as a manifest of “Our Place” as opposed to the Mafia-run gay bars in other parts of the city. For two dollars’ admission one could spend an evening immersed in tribal rites, with all the soda or beer one could drink. The street floor of the firehouse was the dance floor, with a circular staircase the Second-floor lounge and soda bar. The basement in Stygian darkness, included chairs, tables, and another soda bar.
<br><br>						
The whole building, on Saturday nights, pulsed with the beat of rock music, but the main action was on the dance floor. When Lamont, Vernon, Michael, and I were going over there, it was early June, 1971, and hot, since the Firehouse didn’t have air conditioning. The higher the temperature went, the more clothes came off, down to the briefest of hot pants. The music blasted. The bodies writhed. The sweat poured. And the beat went on. Observing the melee from halfway up the circular staircase left no doubt in my mind about what was happening. It was a war dance. The contrast to the dancing at Christopher’s End and other dance bars was obvious. At the bars dancing was, by and large, part of the whole cruising process and had a sense of display about it. People danced for other people to see them and hopefully appreciate what they saw. Although plenty of cruising went on at the Firehouse, the dance floor wasn’t the place for peacock displays, but a celebration of post-Stonewall identity. “We are. We are together. And if you don’t like it, fuck off.” ",
,196-197,Learning to Read New York,53rd St & 3rd Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446474224371!6m8!1m7!1sx-DtoqqZEPes0BP6X1I3Bw!2m2!1d40.75772724542881!2d-73.96936051734659!3f208!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>City Poet: The Life and Times of Frank O’Hara</i> by Brad Gooch, 1993","O’Hara, new to Manhattan, recalls cruising advice from his old roommate, Eliot House","He said, “There’s a special train. After you’ve done the Third Avenue bars, you take it at Fifty-third and Third and it goes right to West Eighth Street. And then you have all of Eighth Street.” 
",,
,198-199,Learning to Read New York,Herald Square,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446480397837!6m8!1m7!1sL9utSgKwQSUoiV7ZrHOK8Q!2m2!1d40.75082617751129!2d-73.9878099558815!3f320!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890-1940</i> by George Chauncey, 1994","The policing of homosexuality in New York City shifted along with gay cruising's adaptive street culture. The majority of arrests for homosexual activity were concentrated in areas shifting into retail shopping districts in the early 1920's, most notably Union Square and Madison Square.","The elaborate display windows that department stores began installing in the late nineteenth century quickly became the locus of one of the few acceptable street cultures for middle-class women, who could stroll down the street looking at them...","The elaborate display windows that department stores began installing in the late nineteenth century quickly became the locus of one of the few acceptable street cultures for middle-class women, who could stroll down the street looking at them and conversing with other browsers, their loitering in public space legitimized by its association with consumption. As men, gay men had less need to justify their presence on the streets, but they took advantage of the same legitimizing conventions. One man who had indicated his interest in meeting another might stop before a window and gaze at the display; the second could then join him and strike up a conversation in which they could determine whether they wanted to spend more time together. “Fairies hang out in the saloon opposite Bloomingdale’s,” a Macy’s saleswoman claimed in 1913, and, she added, the blocks of Third Avenue in the East Fifties, a marginal retail strip under the El, were “their favorite beat.” A study of arrests for homosexual activity in 1921 provides further evidence of the extent to which cruising was concentrated in retail shopping districts, for it revealed that the subway stations at Lexington and Fifty-ninth Street where Bloomingdale’s stood, Union Square (the site of numerous cheap retail outlets), and Herald Square where Macy’s, Gimbels, and Saks-34th Street were located, each accounted for more arrests than any other station, all together accounted for three-quarters of the arrests reported for all subway stations.",
,200-201,Learning to Read New York,45 Rockefeller Plaza,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446481180776!6m8!1m7!1seq_n_7dTpyV8WchI0-A6iA!2m2!1d40.7590806113667!2d-73.97849157099027!3f173!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890-1940</i> by George Chauncey, 1994",The architectural features of New York City's public restrooms determined their viability as gay cruising spots. One of Rockefeller Center's bathrooms was noted as particularly safe because of its long corridor and several doors. ,"One man often served informally as a sentry who could warn the others about the approach of strangers, and, given the possible consequences of approaching the wrong man...","One man often served informally as a sentry who could warn the others about the approach of strangers, and, given the possible consequences of approaching the wrong man, even two strangers alone in an isolated washroom usually sought to confirm their mutual interest in an encounter through a series of nonverbal signs before overtly approaching each other. The most popular tearooms had elaborate and noisy entrances, which altered men to the approach of another and gave them time to stop whatever they were doing. To reach one tearoom famous among gay men in the 1940s, located on the eighth floor of the RCA Building at Rockefeller Center, for instance, those arriving had to pass through several doors in a long corridor, thus providing the men in the room ample warning of their approach. ",
,198,Learning to Read New York,Pennsylvania Station,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446480581628!6m8!1m7!1sBzw7YWeu832DEN8DFMUQ6Q!2m2!1d40.75152649415489!2d-73.99394114022618!3f154!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890-1940</i> by George, Chauncey, 1994","The Pennsylvania was the largest railroad by traffic and revenue in the U.S. for the first half of the twentieth century. During the early 20th century, it carried nearly three times the traffic as other railroads of comparable length.","In 1912, agents of the Pennsylvania Railroad cut holes in the ceiling of the men’s room at their Cortlandt Ferry house in order to spy on men using the facilities. ",,
,201,Learning to Read New York,Christopher St & West St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446484403376!6m8!1m7!1sY2qUVyx4xvoEGDeK7z0HGA!2m2!1d40.7324491!2d-74.0101245!3f352!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Ginsberg: A Biography</i> by Barry Miles, 1989","Christopher Street is, technically, the oldest street in the West Village. ","Ginsberg’s first sexual experience with Kerouac: They were walking by the waterfront where the elevated West Side Highway passed Christopher Street. The area beneath it was used as a truck park and would later become the center of the New York gay scene. They stopped between two trucks and jacked each other off. “I don’t know why there should be some erotic spirit of a place,” Ginsberg commented. “I think it was just the industrial isolation, and we were horny.” However, the next time they walked through the area they did it again.",,
