Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,254,New York Under the Influence,east 78th and third ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446845364996!6m8!1m7!1stT4YAqm6Vpa70M-qcKKVfQ!2m2!1d40.7735957!2d-73.9577825!3f60!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Falter,https://www.youtube.com/watch?v=niuNlPo1q9M,"Paul McCartney: “We’d hear people say, ‘You can get anything off him, any pills you want.’ It was a big racket. The song was a joke about this fellow who cured everyone of everything with all these pills and tranquilizers. He just kept New York high.” ","Paul McCartney: “We’d hear people say, ‘You can get anything off him, any pills you want.’ It was a big racket. The song was a joke about this fellow who cured everyone of everything with all these pills and tranquilizers. He just kept New York high.” John Lennon paid sardonic tribute to an actual New York doctor. His real name was Charles Roberts, whose unorthodox prescriptions had made him a great favorite of Andy Warhol’s entourage and, indeed, of The Beatles themselves, whenever they passed through town. In fact, the name was based on the New York Dr. Feelgood character Dr. Robert Freymann, whose discreet East 78th Street clinic was conveniently located for Jackie Kennedy and other wealthy Upper East Siders from Fifth Avenue and Park to stroll over for their vitamin B-12 shots, which also happened to contain a massive dose of amphetamine. Dr. Robert’s reputation spread and it was not long before visiting Americans told John and Paul about him.<br><br> German born Robert Freymann, sometimes known as Dr. Robert or “The Great White Father” (reportedly because of having a tuft of white hair), continued his practice in New York for many years administering legal amphetamines in larger than needed doses to mostly well-to-do clients. “I have a clientele that is remarkable, from every sphere of life,” he has stated. “I could tell you in ten minutes probably 100 famous names who come here.” He continued his practice until he was expelled from the New York State Medical Society in 1975 for malpractice. His book What’s So Bad About Feeling Good? was published in 1983. He passed away in 1987.",
,251,New York Under the Influence,"Myrtle Ave & Steuben St, Brooklyn, NY 11205","<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446843323226!6m8!1m7!1sgqN10p8Ib-JD0oshF0cPMw!2m2!1d40.69377870449778!2d-73.96309596530004!3f261!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","Kopasz,",https://www.youtube.com/watch?v=Z49bfaXGX78,,"It was 1983, and between Jay Street and the end of the line at Myrtle and Steuben, I might have heard Grandmaster Flash’s “White Lines” a dozen times: Freeze! Rock!",
,132,New York Under the Influence,TBD,,Johnson,,"Twice I had passed through it, but this was really my first visit to New York; and as I walked about that evening, I began to feel the dread power of the city; the crowds, the lights, the excitement, the gaiety, and all its subtler stimulating influences began to take effect upon me. ","Twice I had passed through it, but this was really my first visit to New York; and as I walked about that evening, I began to feel the dread power of the city; the crowds, the lights, the excitement, the gaiety, and all its subtler stimulating influences began to take effect upon me. My blood ran quicker and I felt that I was just beginning to live. To some natures this stimulant of life in a great city becomes a thing as binding and necessary as opium is to one addicted to the habit. It becomes their breath of life; they cannot exist outside of it; rather than be deprived of it they are content to suffer hunger, want, pain, and misery; they would not exchange even a ragged and wretched condition among the great crowd for any degree of comfort away from it.",
,245,New York Under the Influence,Rikers Island,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446832337227!6m8!1m7!1sHyVmUikjm2VVW4ahz6Ay_g!2m2!1d40.77379019803261!2d-73.8929249443051!3f23.4284119568171!4f-14.020113701670496!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","Bockris, Burroughs,",,"""Burroughs: “Heroin was $28 an ounce in the 1920s. Actually there was more morphine on the street rather than heroin. In the 1920s they brought in morphine. Then heroin came in in the late 1920s. Heroin is now about $9,000 an ounce","""Burroughs: “Heroin was $28 an ounce in the 1920s. Actually there was more morphine on the street rather than heroin. In the 1920s they brought in morphine. Then heroin came in in the late 1920s. Heroin is now about $9,000 an ounce, so imagine from $28 an ounce to $9,000 and junk turns out to be a model for inflation, being the most inflated item. A friend of mine … who did time on Rikers Island in the thirties, told me the guards came in every morning with a shoebox full of heroin decks at fifty cents a deck. On one deck you could stay loaded all day and do the time standing on your head. With junk you are immune to boredom and discomfort … Now there’s good heroin on the street again and you can maintain a habit for $12 a day.”""",
,245,New York Under the Influence,E 3rd St and Avenue C,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446832645704!6m8!1m7!1sSKVnYtk-thOs4q0lgcdimQ!2m2!1d40.72167561219261!2d-73.98059826482731!3f298!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Trebay,,"The brands of heroin most actively hawked Wednesday afternoon, June 9, 1982, on 3rd Street east of Avenue C were Red Tape and Yellow Tape and Buddha.",,
,246,New York Under the Influence,"3rd Ave & E 14th St,","<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446832945181!6m8!1m7!1s42NqOeNOdM3ox516XxFLAw!2m2!1d40.73330689288675!2d-73.9871768171051!3f208!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Jacobson,,"There’s no night (except for Sunday, when the Street is eerie and dead) when you can’t walk from Fourth Avenue to Second Avenue on Fourteenth Street without at least half a dozen ballcap-wearing, pinpoint-eyed junkies asking you if you want downers. The price list fluctuates with supply: Placidyl usually go for 2.50; Valium, 75 cents; Tuinal, $3; Elavil, $2 on Fourteenth Street, with a 25 percent markup for rock show nights.",,
,246,New York Under the Influence,Sheridan Square,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024669129!6m8!1m7!1sdkCYxQjR6n6O9uRpjw8fsw!2m2!1d40.73313392585619!2d-74.00216291778733!3f151!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hamilton,,"The outer chaos was considerable. When I first moved in, a soda joint called The Haven was in full operation in the neighborhood as probably the largest downtown retail distribution center for every known variety of drugs. Sunday mornings, going out to get the paper at nine or ten o’clock, I’d see the flotsam and jetsam of the night before strewn around Sheridan Square and West Fourth Street, kids barely able to walk, kids draped over fenders or nodding out in doorways, blank, lost looks on their faces. I had a sunlit vision of hell.",,
,251,New York Under the Influence,Battery,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446834833591!6m8!1m7!1s0vC5lUL-8Zvflc7e_M2IdA!2m2!1d40.7033231!2d-74.0144554!3f266.8383736792325!4f-6.302737765111701!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","Ginsberg, <i>Howl</i>",,who chained themselves to subways for the endless ride from Battery to holy Bronx on Benzedrine,,
,252,New York Under the Influence,E 48th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446844183298!6m8!1m7!1srdEsgXd5yJmhIYbebLIO1w!2m2!1d40.75570132321189!2d-73.97432278180966!3f86.47235047252883!4f2.265540078247639!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Stein and Plimpton,,"Dr. Roberts was the perfect father image. His office, down on Forty-eighth Street on the East Side, was very reputable-looking, with attractive nurses, and he himself looked like a doctor in a movie. He was always telling me of his wonderful experiments with LSD, delivering babies, curing alcoholics","Dr. Roberts was the perfect father image. His office, down on Forty-eighth Street on the East Side, was very reputable-looking, with attractive nurses, and he himself looked like a doctor in a movie. He was always telling me of his wonderful experiments with LSD, delivering babies, curing alcoholics … and he was going to open a health farm and spa where all this was going to go on … and naturally he was stoned all the time, too. He wasn’t a viper. I just think he was so crazy, he truly thought he was going to help the world. He wasn’t out to kill anyone. We were the ones going in and getting the shots. I mean, anyone can set up a booth on the side of the road reading: I’M GIVING ARSENIC SHOTS HERE, but you have to stop and take them.<br><br> Over the years that he was riding high, tons of people went to see Dr. Roberts. But there was a little crowd of favorites. When you were a favorite, it meant that you were allowed special privileges. Even if the waiting room was filled with twenty people, you got right in. When you were addicted, being able to get right in was very important. You got bigger shots; you got shot up more than anybody else, and you became more of an addict. It was wonderful to be part of this special group. Edie fit right in. The minute she hit there, she became a special Dr. Roberts person.",
,256,New York Under the Influence,420 e 51st street,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446845700188!6m8!1m7!1syWaaqj6J_v-y53d0PuT8ng!2m2!1d40.75420400182252!2d-73.96499614352413!3f211!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Petronius,,"Dr. Bishop’s Waiting Room: 420 E. 51st. Diet doctor of the moment! Fashionable party ever-present for daily, nightly treatments. Includes sauna. Good for all contracts.",,
