Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,,Politics,"64th St & 4th Ave, Bay Ridge","<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447094246646!6m8!1m7!1s_qRVNFnkbl_iHHSzpo6UTQ!2m2!1d40.63824393064413!2d-74.0212712017614!3f149!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Solis,Bay Ridge is also famed for being the set of 1977's <i>Saturday Night Fever.</i>,"In 1902, Mayor Seth Low embarked on what may have been the world’s first instance of driving a car through a sewer, causing the <i>New York Times</i> to proclaim that “automobiling through sewers is the very latest thing.” Two cars were lowered into a 15-foot-wide conduit beneath 64th Street in Bay Ridge, which had been atmospherically lit with candles. The mayor and his entourage climbed down a ladder at Fourth Avenue and drove through the finish stretch of a pipe that, at a length of 300 miles, was intended to be the largest sewer in the world. ",,
,6,Politics,53rd St & 7th Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447023697821!6m8!1m7!1s5GHdsikZ4yC_7YLw3QeMqg!2m2!1d40.76269652743618!2d-73.98210489602945!3f24!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Denby and Cornfield,"Edwin Denby describes Willem de Kooning's inspiring encounter with André Breton at 53rd St & 7th Ave in his 1957 essay ""The Thirties."" <a href=""http://isola-di-rifiuti.blogspot.com/2012/10/notebook-edwin-denby-ted-berrigan-clark.html"">Read the entire passage here.</a> ","Marxist talk of the thirties was one-track. The generous feeling in it was stopped by a rigid perspective, a single center of action, and by jokes with only one side to them.","Marxist talk of the thirties was one-track. The generous feeling in it was stopped by a rigid perspective, a single center of action, and by jokes with only one side to them. If one overlooked that, what was interesting was the peremptoriness and the paranoia of Marxism as a ferment or method of rhetoric. But artists who looked at painting were used to a brilliance in such a method on the part of the Paris surrealists and to a surrealist humor that the political talk did not have. Politically everybody downtown was anti-fascist, and the talk went on peacefully. Then when friends who had fought in Spain returned, their silence made an impression so direct that the subject was dropped. Against everybody’s intention it had become shameless.
      In the presence of New York at the end of the thirties, the paranoia of surrealism looked parlor-sized or arch. But during the war Bill told me he had been walking uptown one afternoon and at the corner of 53rd and 7th he had noticed a man across the street who was making peculiar gestures in front of his face. It was Breton and he was fighting off a butterfly. A butterfly had attacked the Parisian poet in the middle of New York. So hospitable nature is to a man of genius.",
,200,Politics,Bryant Park,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446480880382!6m8!1m7!1sN0EcpkcBS1t0gM1ejdhRTQ!2m2!1d40.75366117963084!2d-73.98311362875565!3f243!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Gay New York: Gender, Urban Culture, and the Making of the Gay Male World, 1890-1940</i> by George Chauncey, 1994","Fiorello H. La Guardia, a republican, was the 99th Mayor of New York City for three terms from 1934-1945. ",La Guardia began closing Bryant Park at night in 1944 in order to “prevent undesirables from gathering.” ,,
,588,Politics,Randall's Island,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447093214890!6m8!1m7!1sLxuCvAkvOyYc5dAh24hU6A!2m2!1d40.79600352881592!2d-73.9178546637704!3f17!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Ballon and Jackson,"Seigfried Gideion, historian and arcitecture critic, delivered a lecture Harvard University in 1938, which later became the canonical book in the history of modern thought, <i>Space, Time, and Archetecture.</i> He presented Moses' work at its climax with large photos of the recently completed Randall's Island Park.  ","Moses' project marked not only a new phase in th emodernization of urban space, but a new breakthrough in modernist vision and thought. For the whole generation of the 1930s--Corbusierian or Bauhaus formalists and technocrats, Marxists, even agrarian neopopulists--these parkways opened up a magical realm, a kind of romantic bower in which modernism and mastorialism could intertwine. Moses seemed to be the one public figure in the world who understood ""the space-time conception of our period""; in addition, he had “the energy and enthusiasm of a Haussmann.” This made him “uniquely equal, as Haussmann himself had been equal, to the opportunities and needs of the period,” and uniquely qualified to build “the city of the future” in our time. Gegel in 1806 had conceived of Napoleon as ""the <i>Weltseele</i> on a horse""; for Giedion in 1939, Moses liiked like the <i>Weltgeist</i> on wheels. ","he had “the energy and enthusiasm of a Haussmann.” This made him “uniquely equal, as Haussmann himself had been equal, to the opportunities and needs of the period,” and uniquely qualified to build “the city of the future” in our time. Gegel in 1806 had conceived of Napoleon as ""the <i>Weltseele</i> on a horse""; for Giedion in 1939, Moses liiked like the <i>Weltgeist</i> on wheels. ",
,513-574,Politics,Roosevelt Hotel,,Trager,,"The energy, time and money that go into preparing temporary political headquarters is astonishing. Early in September, on Republican order, Roosevelt Hotel housemen stripped the seventh floor of everything except the carpets, draperies and television sets. ","The energy, time and money that go into preparing temporary political headquarters is astonishing. Early in September, on Republican order, Roosevelt Hotel housemen stripped the seventh floor of everything except the carpets, draperies and television sets. The sets were kept because Mr. Rockefeller wanted his staff to keep up with campaign developments.<br><br>When the floor was cleared, brand-new office equipment was carried in by the carload. Countless reams of stationery were piled up. Three hundred telephones were hooked up with a special three-position headquarters switchboard. Forty more telephones will be installed in the Roosevelt’s Grand Ballroom tomorrow. So will extra circuits for radio commentators and television men.<br><br>The Rockefeller men tried something new with good results. They set thirty telephones aside to carry Mr. Rockefeller’s stand on major issues. His voice was recorded on tape. The numbers of the special telephones were advertised so that any voter who wanted to brush up on Mr. Rockefeller’s platform could hear it in his own words, in his own voice.",
,574,Politics,Madison Square Garden,,Caldwell,,"The <i>Herald</i> announces: “Residents of New York City and the country around will be able to read in the skies the result of the battle of the ballots to-morrow.” A searchlight, placed atop the Madison Square Garden Tower, beamed out the results as soon as they came in, pointing southward to announce that the Democrats had won.",,
,152,Politics,,,Mumford (City in History),,"The whole organization of the metropolitan community is designed to kill spontaneity and self-direction. You stop on the red and go on the green.
You see what you are supposed to see, and think what you are supposed 
to think ... ","The whole organization of the metropolitan community is designed to kill spontaneity and self-direction. You stop on the red and go on the green.You see what you are supposed to see, and think what you are supposed to think ... To choose, to select, to discriminate, to exercise prudence or continence or forethought, to carry self-control to the point of abstinence, have standards other than those of the [mass] market, and to set limits other than those of immediate consumption—these are the impious heresies that would challenge the whole megalopolitan myth and deflate its economy. In such a free society Henry Thoreau must rank as a greater public enemy than Karl Marx.",
,220,Politics,United Nations,,Petronius,,"The United Nations is one of the largest users of hookers. They have an assembly of choice prostitutes at their disposal. A girl considers a UN diplomat or any foreign emissary a genuine prize. They are all exceedingly generous with their nation’s money and extra gifts; most court the prostitutes extravagantly. They’re also all great leads for the wealthier members of their countries who drop in on the States and like to meet a nice girl. Have tons of money, want to swing.",,
,,Politics,,,Douglas,,"The 1920s were at least as post-Marxist as anti-Marxist. Remember this was the first age of the media, of book clubs, best-sellers, and record charts, of radios and talking pictures; by the end of the decade, one in every three Americans owned a radio and record player, three out of four wentto the movies at least once a week, and virtually no one was out of reachof advertising’s voice. Whatever the moderns’ apathy toward conventional politics, they were altogether alert to the bewildering array of cultural artifacts and phenomena that a full-blown consumer society throws intothe hustling stakes of history. This was the first generation to grasp the supremacy to see that mass culture would acquire, to realize that, in the late- capitalist or consumer society America was becoming, there might not be distinct classes as Marx had explicated them in his studies of early capitalism a half-century earlier; instead of a clear distinction or face-off between the oppressor and the oppressed, there might be only a handy-dandy exchange between what the metropolitans termed “suckers” and “racketeers.” In a consumer society, this generation saw, everyone, wittingly or unwittingly, gets to play the “sucker” one moment and the “racketeer” the next. There are no classes in this shrewdly apolitical political vision, just people more and less deceived. Tricksters and impersonators appeared nightly as top Broadway entertainment; in mongrel Manhattan, con games were culture.",,
,,Politics,"Morgan Library, 225 Madison Avenue at East 36th Street",,Ellis,,"J. Pierpont Morgan dealt himself another hand of solitaire and listened for the twentieth century. It was the night of December 31, 1899, and Morgan sat in the library of his Madison Avenue mansion. Logs crackled in the fireplace. To the left of the hearth stood a bookcase holding two metal statues of knights in armor, a clock perched between them. From time to time Morgan may have lifted his dark-hazel eyes to glance at the clock.The clock began tolling the hour of midnight. Morgan may have raised his massive head at the very first bing. So the twentieth century had arrived? Very well. Within a little more than a year Morgan was to create the first billion-dollar corporation in history, the United States Steel Corporation. Bong!",,
