Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,196-197,Scene,53rd St between 3rd Ave and Lexington,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446476276451!6m8!1m7!1skd3AN9KPu5fSqrAPAm754g!2m2!1d40.75813333212459!2d-73.97042709851337!3f57!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""In History's Vicinity"" by Richard Bowes from <i>Best Gay Stories 2010</i>",,"The Bird Circuit of gay bars: The Blue Parrot on Fifty-third between Third and Lexington, the Golden Pheasant on Forty-eighth Street, the Swan—all in the neighborhood of the Third Avenue El. ","The Bird Circuit of gay bars: The Blue Parrot on Fifty-third between Third and Lexington, the Golden Pheasant on Forty-eighth Street, the Swan—all in the neighborhood of the Third Avenue El. The East Side bars tended to be dressy, and their customers were conservatively dressed in bow ties, blazers, or fluffy sweaters. The “bird bars” usually started coming to life between eleven-thirty and midnight when the plays let out. Often the men in the bar could be found shoulder to shoulder dancing, singing tunes from such Broadway musicals as South Pacific or Kiss Me, Kate in unison with the jukebox.",
,2/13/0212,Scene,160 W 129th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446484884394!6m8!1m7!1sejBUBjDeDB9V5n6vLvBXAg!2m2!1d40.81124286407831!2d-73.94578775309658!3f231.86562162150955!4f-5.64597317944974!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Voguing and the House Ballroom Scene of New York City 1892-1992</i> by Tim Lawrence, 2011",,"It was the queens’ most baroque fantasies of glamour and stardom, all run on Singer sewing machines in tiny apartments.
","It was the queens’ most baroque fantasies of glamour and stardom, all run on Singer sewing machines in tiny apartments.
<br><br>					
At one event, Cleopatra arrived on a ceremonial float flanked by six servants waving white, glittering palm leaves; and at another, a 2,000-watt incandescent lamp was lit just as a fashion model flung open her Mylar-lined feathered coat, leaving the front rows momentarily blind.
<br><br>					
The negro homosexuals still appear at intervals dressed in a baffling impersonation of their opposite sex. Sometimes a “Drag” (or costume ball) is announced ... The raised stubble of chin and neck is pitted with a power that creates a blue bloom. The row of pearls accentuates, rather than camouflages, the Adam’s apple. Kid gloves cover the veined hands, but the feet are always a “give-away.” 
<br><br>					
House of Dupree, House of Corey, House of Wong, House of Christian, House of Plenty, House of LaBeija, House of Xtravaganza, House of Omni.
<br><br>						
Voguing evolved into a contorted, jerky, slicing style of dance when drag queens incorporated kung fu aesthetics into their routines, having become familiar with the swift, angular movements of Bruce Lee and his co-stars while working trade inside Times Square’s porn cinemas, or heading there after a night’s work to get some rest.				
<br><br>
In broad daylight, voguers headed to the abandoned stretches of the West Side piers, where they would hang out and practice moves, or to the clandestine space of gay-driven dance venues such as Better Days, the Paradise Garage and Tracks.
<br><br>					
Beautiful femme queens and famous voguers, taken in their youth. Founding mothers Dorian Corey, Pepper LaBeija, Avis Pendavis, Angie Xtravaganza, Paris Dupree, Duchess LaWong.
<br><br>
In the early 1980s, leaving my house to go to balls at 3:30am was really just a bit too much. My family argued with me about going out, they were like, “Are you crazy? Where you going at this time?” And I would reply, “I’m leaving Brooklyn, riding the West Side Highway up to Harlem, looking at the sunrise, and then I’m going to a ball.” It was like a drug, you had to go, and you had to wait to the end for the grand prize. It was like, “You have to see Miss Avis come out there, honey.”
<br><br>					
Not because I didn’t appreciate the Harlem Renaissance or my roots, I just didn’t like that 4 o’clock, 5 o’clock in the morning lifestyle. It almost felt to
me like it was as if gay people shouldn’t be seen, so let’s go out in the wee hours of the morning and play around and do our thing, then run home before people can see us. I think it was a little safer for some of the drag queens back then, because they liked coming out when it was dark. But when they came downtown, I picked an area where people could feel safe, wear their fur coats and didn’t have to worry about this, that and the other.
<br><br>					
I walked in Brooklyn, in the worst neighborhoods, in red leather pants, red leather shoes, beige sheepskin, beige shoes, finger-wave hairstyle and Gazelle glasses.
<br><br>					
Light versus dark for butch queen face.
<br><br>					
The top voguers were Ronald LeMay, Jose Xtravaganza, Jason Overness, Aldona Fields, Jerome Pendavis, and Brian Omni.
			",
,198,Scene,160 W 129th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446480251972!6m8!1m7!1s2QQdfO63xCz1LPMNtd6jNg!2m2!1d40.81133040797307!2d-73.9459942782638!3f191!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Voguing and the House Ballroom Scene of New York City 1898-1992</i> by Tim Lawrence, 2011",Charles Henri Ford and Parker Tyler describe Harlem’s drag balls of the 1920s.,A scene whose celestial flavor and cerulean coloring no angelic painter or nectarish poet has ever conceived.,,
,,Scene,59 W 44th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447017712472!6m8!1m7!1sh_jTR5MfMXxVwxJdEGzBPw!2m2!1d40.75584893476201!2d-73.9824478831411!3f4.37!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Douglas,"""The Algonquin Round Table"" at the Algonquin Hotel was a celebrated group of New York City writers, critics, actors and wits. Gathering initially as part of a practical joke, members of ""The Vicious Circle"", as they dubbed themselves, met for lunch each day at the Algonquin Hotel from 1919 until roughly 1929. Members included Dorothy Parker and Harold Ross, founder of the <i>New Yorker.</i>","James Thurber, drunk and legally blind, kept setting himself on fire with his cigarettes in the Algonquin Hotel.",,
,,Scene,West 28th Street & 6th Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447020655479!6m8!1m7!1sXXRjnH5el_lk0Dws7SeMpg!2m2!1d40.74538402160884!2d-73.99281836398629!3f119!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Dreiser,Tin Pan Alley is the name given to the collection of New York City music publishers and songwriters who dominated the popular music of the United States in the late 19th century and early 20th century. The name originally referred to a specific place: West 28th Street between Fifth and Sixth Avenue in Manhattan.,"In Twenty-seventh or Twenty-eighth Street, or anywhere along Broadway from Madison to Greeley Squares, are the parlors of a score of publishers, gentlemen who coordinate this divided world for song publishing purposes. There is an office and a reception room; a music- chamber, where songs are tried, and a stock room. Perhaps, in the case
of the larger publishers, the music-rooms are two or three, but the air of
each is much the same. Rugs, divans, imitation palms make this publishing house more bower than office. Three or four pianos give to each chamber
a parlor-like appearance. The walls are hung with the photos of celebrities, neatly framed, celebrities of the kind described. In the private music-rooms, rocking-chairs. A boy or two waits to bring professional copies at a word. A salaried pianist or two wait to run over pieces which the singer may desire to hear. Arrangers wait to make orchestrations or take down newly schemed out melodies which the popular composer himself cannot play. He has evolved the melody by a process of whistling and must have its fleeting beauty registered before it escapes him forever. Hence the salaried arranger.<br>","“In Twenty-seventh or Twenty-eighth Street, or anywhere along Broadway from Madison to Greeley Squares, are the parlors of a score of publishers, gentlemen who coordinate this divided world for song publishing purposes. There is an office and a reception room; a music- chamber, where songs are tried, and a stock room. Perhaps, in the caseof the larger publishers, the music-rooms are two or three, but the air ofeach is much the same. Rugs, divans, imitation palms make this publishing house more bower than office. Three or four pianos give to each chambera parlor-like appearance. The walls are hung with the photos of celebrities, neatly framed, celebrities of the kind described. In the private music-rooms, rocking-chairs. A boy or two waits to bring professional copies at a word. A salaried pianist or two wait to run over pieces which the singer may desire to hear. Arrangers wait to make orchestrations or take down newly schemed out melodies which the popular composer himself cannot play. He has evolved the melody by a process of whistling and must have its fleeting beauty registered before it escapes him forever. Hence the salaried arranger.<br><br>Into these parlors then, come the mixed company of this distinctive world: authors who have or have not succeeded, variety artists who have some word from touring fellows or know the firm, masters of small bands throughout the city or the country, of which the name is legion, orchestra-leaders of Bowery theaters and uptown variety halls, and singers.",
,,Scene,101 Ave A ,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154409531!6m8!1m7!1srY7auXcPHvwv9bAaFTpqNg!2m2!1d40.72575838266732!2d-73.98375097855657!3f288!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Frisa and Tornchi,,"The Pyramid on Avenue A was the haven and birthplace of a whole new breed of drag queens: Ethel Eichelberger, Hapi Phace, John Kelly, RuPaul, Lypsinka, Lady Bunny, Taboo!",,
,,Scene,126 East 14th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154437538!6m8!1m7!1s5Rund0cNh7gblic7-wwyeQ!2m2!1d40.73363582938288!2d-73.98804285136731!3f205!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Frisa and Tornchi,,"The Palladium: “What I was most interested in was that the discotheque as a building type almost extends beyond the conventional idea of architecture and that even substance is lost in its space. Needless to say, however, its space is naturally built and affected by forms and their material composition as in a usual traditional building, nevertheless, these greatly lose their importance in a disco space, and, instead, momentarily passing lights, sounds and visionary images come to the fore. ","The Palladium: “What I was most interested in was that the discotheque as
a building type almost extends beyond the conventional idea of architecture and that even substance is lost in its space. Needless to say, however, its space is naturally built and affected by forms and their material composition as in a usual traditional building, nevertheless, these greatly lose their importance in a disco space, and, instead, momentarily passing lights, sounds and visionary images come to the fore. Although lighting, video and music are elements of an architectural space, they come to play the main roles in a discotheque. Each of these elements is the material and media of a new type brought forth by the technology of this age. If it is confirmed that space can be transformed by such elements, it will be quite a rare case in the sphere of contemporary architecture where a field of experiment has been lost. Above all, in a discotheque, such technologies pour over the whole body of a person like a shower and stimulate all the senses. It is as if hidden desire is evoked. Rather it would be better to say that a shower of technologies gives birth to successive desires.”",
,87,Scene,101 W 18th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154657182!6m8!1m7!1si5KD1vn8YAm8OIFed-uUvw!2m2!1d40.73973845368837!2d-73.99475226933282!3f275!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Goldsmith,,"Shortly before he died, we were invited to dinner at Merce Cunningham’s loft on Sixth Avenue. Upon entering, we were astonished to see numerous priceless works of art lining the walls. ","Shortly before he died, we were invited to dinner at Merce Cunningham’s loft on Sixth Avenue. Upon entering, we were astonished to see numerous priceless works of art lining the walls. When we inquired “Is that ... ?” we were unceremoniously cut off and told that everything here is what you think it is. There were Johnses, Rauschenbergs and even a little Duchamp <i>Tzank Check</i> framed in a ’70s plexiglass frame close the floor, covered in cooking grease, dust and cat piss. Over many valuable works of art were leaky skylights. During dinner we asked Merce what would happen if one of these works were damaged. He smiled and said, “But of course our friends would just make us another.”
",
,,Scene,81 University Pl,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154468615!6m8!1m7!1sWun9up5-FvupWtqx_1YUyw!2m2!1d40.7334877939732!2d-73.99316701148312!3f283!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Gooch,Cedar Tavern,"Regulars at the Cedar Tavern: David Smith, Philip Guston, Mark Rothko, Isamu Noguchi, Barnett Newman, Norman Bluhm, Howard Kanovitz, Aristodemis Kaldis, Michael Goldberg, Herman Cherry, Jack Tworkov,John Cage, Edwin Denby, John Gruen, Morton Feldman, Harold Rosenberg, Clement Greenberg, Alfred Leslie, Arnold Weinstein, Robert Rauschenberg, Jasper Johns, Irving Sandier, and Milton Resnick; among the few womenin the classic “men’s bar” were Helen Frankenthaler, Grace Hartigan, Joan Mitchell, Jane Wilson, Barbara Guest, Elaine Mercedes Matter, and Ruth Kligman.",,
,,Scene,653 Broadway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447153946680!6m8!1m7!1sSKk8zDJzpK2LlwGiQL6CGQ!2m2!1d40.72694804537603!2d-73.99550538175039!3f287.24!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Haden-Guest,,It is about five-thirty in the morning. We drive down lower Broadway. There are two black doors at 653. We go in the door. It was Infinity. There are two thousand guys.,,
