Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,86,Stupid Money,Harlem TBD,,Hawes,"Manhattan apartment houses, as we'd recognize them today, were first built in 1869 when 769,000 people lived on the island; by1930 the borough's population had swelled to six million, with 98 percent of residents lived stacked up in these buildings.","It never ceased to astonish me that some of the most luxurious apartments in the world are being constructed in the east and west 80s and 90s, while
a few hundred yards away fester the slums of Harlem. ","It never ceased to astonish me that some of the most luxurious apartments in the world are being constructed in the east and west 80s and 90s, whilea few hundred yards away fester the slums of Harlem. New Yorkers blinker themselves against this, unless they travel by the commuter trains that slice through the ghetto at high speed. Drivers leaving the city to the north to reach the Westchester suburbs or New England are more likely to speedup one of the riverside highways than drive through Harlem. As long asthe service industries prosper, and the glitter and glamour of the city are constantly refueled by fresh injections of talent and money, Manhattan will continue to gleam and shine and beckon as the prince of cities, welcoming acolytes who can make their contribution to it. That this prosperity and sophistication sours with every step that you take north of 96th Street doesn’t concern affluent New Yorkers. They simply don’t see it.",
,,Stupid Money,5th Ave & 33rd St,,,William Waldorf Astor's Mansion ,"Miss Foley, the Waldorf housekeeper, has over two thousand rooms in her household; with 30,000 face towels and 54,000 sheets in her linen cupboard, her laundry bill must surely be excessive. Each day over 60,000 pieces of linen are sent to the wash. In this vast, modern, efficient hotel, that employs “every possible comfort-bringing, labor-saving device,” it would seem that even used razor-blades must find some utilitarian fate. What becomes of them once they are dropped into those accommodating slots in the bathrooms? Perhaps they reach the world again as part of the steel chassis of a motor-car or add justone more steel drop to the ocean that goes to make a girder, forcing the world higher still to the sky? But no, enquiry reveals that Miss Foley allows the blades to lie idle behind the slots, waiting for the day when the cavities have been filled up before finding a use for the discarded relics.",,
,89,Stupid Money,1060 5th Avenue,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022963382!6m8!1m7!1sMnDa-k9gN55x2lBW-dbPCQ!2m2!1d40.78229258172107!2d-73.95986593406884!3f87!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Josephy and McBride,,"The largest apartment which we found record was sold to John Markell— forty-one rooms and seventeen baths at 1060 Fifth Avenue for $375,000.","The largest apartment which we found record was sold to John Markell— forty-one rooms and seventeen baths at 1060 Fifth Avenue for $375,000. The story goes that shortly after Mr. Markell moved in, a servant unlocked a door that nobody had noticed and discovered ten rooms they didn’t know they had.",
,6&7,Stupid Money,Madison Square Garden,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022755878!6m8!1m7!1swtc2UKELS26coNcGoE4C5w!2m2!1d40.74984882637894!2d-73.99145584505547!3f321!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Ayock and Scott,,"Tex Rickard built a giant swimming pool in Madison Square Garden in 1921. The giant white-tiled pool was 250 feet long by 100 feet wide, two-thirds the size of a football field. ","Tex Rickard built a giant swimming pool in Madison Square Garden in 1921. The giant white-tiled pool was 250 feet long by 100 feet wide, two-thirds the size of a football field. The water tank held 1,500,000 gallons of water. The ends of the pool had a depth of three feet and sloped to the center for a depth of fifteen feet, an area that served amateur and professional swim and dive competitions on Thursday evenings. A cascading waterfall was incorporated into the design at one end.",
,44,Stupid Money,Ritz-Carlton Hotel,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022667506!6m8!1m7!1s8XdLlGNYEMcAAAQJOCFhaw!2m2!1d40.76543821544247!2d-73.97592364250153!3f208!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Trager,,"Woolworth heiress Barbara Hutton turns 18, November 1930. Debut ball at Ritz-Carlton Hotel, whose first floor has been transformed with white birches...","Woolworth heiress Barbara Hutton turns 18, November 1930. Debut ball at Ritz-Carlton Hotel, whose first floor has been transformed with white birches, eucalyptus trees from California, mountain heather, scarlet poinsettias,and 10,000 American beauty roses (workmen have labored for two days and nights to create the opulent bower).",
,106,Stupid Money, 405 Lexington Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022570080!6m8!1m7!1sO4FMEyIhedLl6jWMx7HkLQ!2m2!1d40.75182211452081!2d-73.97579793832247!3f146!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Conrad,,"At first the Empire State was to be only four feet taller than the Chrysler, and John Jacob Raskob worried that Walter Chrysler might cheat by hiding a mast in his spire and suddenly raise it to win the race. ","At first the Empire State was to be only four feet taller than the Chrysler, and John Jacob Raskob worried that Walter Chrysler might cheat by hiding a mast in his spire and suddenly raise it to win the race. For these men the buildings symbolize a power over mortality and over the human body which, for all their wealth, they themselves don’t possess.",
,90,Stupid Money,"W 10023, 171 W 71st St",,Hawes,,"The specifics of the Dorilton are as carefully chosen as a lady’s wardrobe: mahogany, oak, white enamel, and bird’s-eye maple trim throughout...","The specifics of the Dorilton are as carefully chosen as a lady’s wardrobe: mahogany, oak, white enamel, and bird’s-eye maple trim throughout; high wooden wainscoting carried under a Dutch shelf molding for the dining room; five feet of marble wainscoting for the kitchen; French plate glass above French tiles in the bath; glass doors between major rooms. In most buildings, there are extra little touches here and there like signposts of taste—a sculpture niche, a Wedgwood frieze, a pair of silver wall sconces, a Delfttiled fireplace.",
,,Stupid Money,,,"Ellis, Psycho",,Some kind of existential chasm opens before me while I’m browsing in Bloomingdale’s. ,,
,,Stupid Money,,,Conrad,,An index of consumption: How many millionaires are there in the city? How much does land cost per square inch on Wall Street? What’s the lucrative length of Fifth Avenue. ,,
,,Stupid Money,36th St & Madison Ave,,"Ellis, Epic",,"J. Pierpont Morgan dealt himself another hand of solitaire and listened for the twentieth century. It was the night of December 31, 1899, and Morgan sat in the library of his Madison Avenue mansion. Logs crackled in the fireplace. To the left of the hearth stood a bookcase holding two metal statues of knights in armor, a clock perched between them. From time to time Morgan may have lifted his dark-hazel eyes to glance at the clock.<br>The hulking six-foot financier sat at his desk in his usual flat-footed position, toes turned out. With strong and well-formed fingers, he laid out the cards, playing almost automatically, as he did when he had something on his mind. A long cigar protruded from the paper cigar holder clenched in his teeth under his mustache.<br>Although it was almost midnight in Morgan’s mahogany study, it was the high noon of capitalism in America, and no American stood out so starkly as he. Morgan was centralizing the control of industry and credit. He was the capitalist’s capitalist. President William McKinley of the large head and barrel torso sat in the White House; but businessmen guided the nation’s destiny and Morgan guided the businessmen. Indifferent to social reform and defiant of public opinion, Morgan felt that he owed the public nothing.<br>The clock began tolling the hour of midnight. Morgan may have raised his massive head at the very first bing. So the twentieth century had arrived? Very well. Within a little more than a year Morgan was to create the first billion-dollar corporation in history, the United States Steel Corporation.<br> Bong!",,
