Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,,The Biz,47th and Broadway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154711155!6m8!1m7!1sDPgynfnfSwm4TcaAqkRVqA!2m2!1d40.75946742068191!2d-73.9851095716799!3f195!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>On The Town: One Hundred Years of Spectacle in Times Square</i> by Marshall Berman, 2006",,"Tibor Kalman’s (1949–99) Fire Sign. A spectacular ad for <i>Colors</i>, a glossy magazine put out by the Italian sportswear company United Colors of Benetton. The sign was on display in 1992 and 1993. It was fifty feet high, maybe twice as long; it curved around the corner of 47th Street and Broadway, and it showed full frontal nude photos of six teenagers. Actually, they weren’t quite teenagers: Two of them looked closer to twenty-five, another two seemed more like fifteen. And they weren’t quite nude; they were holding small signs over their genitals, something like the fig leaves in Renaissance paintings of Adam and Eve. It was hard for a spectator not to enjoy the nakedness of these beautiful kids; but their genital fig leaves forced us also to share their embarrassment.","Tibor Kalman’s (1949–99) Fire Sign. A spectacular ad for <i>Colors</i>, a glossy magazine put out by the Italian sportswear company United Colors of Benetton. The sign was on display in 1992 and 1993. It was fifty feet high, maybe twice as long; it curved around the corner of 47th Street and Broadway, and it showed full frontal nude photos of six teenagers. Actually, they weren’t quite teenagers: Two of them looked closer to twenty-five, another two seemed more like fifteen. And they weren’t quite nude; they were holding small signs over their genitals, something like the fig leaves in Renaissance paintings of Adam and Eve. It was hard for a spectator not to enjoy the nakedness of these beautiful kids; but their genital fig leaves forced us also to share their embarrassment.<br><br>The color contrasts among the kids were striking: One was clearly Asian, one clearly African (Afro-American? Afro-European?), two clearly Caucasian, and two unclear or mixed; for that matter, it was very likely that all of them were mixed. The contrasts in ideas were striking, too. At the far left, a punklike blond boy with an Axl Rose look held an ATTITUDE placard. Next, a voluptuous Asian girl held RACE. An olive-skinned boy carried a TRUTH sign. A black girl had a POWER sign. A short, compact Asian man signed LIES. At right, the youngest-looking of the six, a girl with a gamine aura, covered herself with FIRST DATE. It was impossible (or let’s say very hard) for a spectator not to enjoy the near nakedness of these kids, to feast our eyes on them. At the same time, the way the sign was crafted, it was impossible
not to feel guilt and embarrassment. The sudden vision of their bodies was revelatory and shocking. There was something about the way they stood, the ambient light and color, the innocence on their faces when innocence was mixed with defiance—that made them seem vulnerable and overexposed; they looked more like suspects in a police lineup than participants in an orgy. But what was their crime? There was human depth in this sign, it drew us into the action. Before the picture could mean anything, we spectators had to imagine actively, to “write the book.” My wife and I imagined a strip search after a drug raid on a club. We noticed that at least two of these kids were “underage,” but we couldn’t tell what the age spread was supposed to mean. Was the point that age meant nothing? (But then, I thought, shouldn’t there be some older people with wrinkled or sagging bodies in the scene?) We never figured out their genital signs, fig leaves in print. Were we meant to think of those tags as social labels imposed by the powers that took their clothes and lined them up? Was this a generation of kids caught in the crossfire of adult big words? Yet wasn’t “victim” another adult big word?",
1,,The Biz,New York University,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154739895!6m8!1m7!1sG7Vm6WWZZGGOuXiuErBXXQ!2m2!1d40.72936655935794!2d-73.9961699341338!3f90!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Warhol</i> by Victor Bockris, 1997","Edward Bernays was the first professor in the field of public relations and propaganda, which he taught at NYU. He's referred to in his obituary as ""the father of public relations"" for combining the ideas of Gustave Le Bon and Wilfred Trotter on crowd psychology with the psychoanalytical ideas of his uncle, Sigmund Freud.","Publicity had not been an issue with artists in the Forties and Fifties. It might come as a bolt from the philistine blue, as when Life made Jackson Pollock famous; but such events were rare enough to be freakish, not merely unusual. By today’s standards, the art world was virginally naive about the mass media and what they could do. Television and the press, in return, were indifferent to what could still be called the avant-garde. “Publicity” meant a notice in the <i>New York Times</i>, a paragraph or two long, followed eventually by an articlein <i>Art News</i> which perhaps five thousand people would read. Anything else was regarded as extrinsic to the work—something to view with suspicion, at best an accident, at worst a gratuitous distraction. One might woo a critic, but not a fashion correspondent, a TV producer, or the editor of <i>Vogue</i>. To be one’s own PR outfit was, in the eyes of the New York artists of the Forties or Fifties, nearly unthinkable—hence the contempt they felt for Salvador Dalí.",,
,,The Biz,233 Broadway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447135760546!6m8!1m7!1sOeLA4TCpTz1n4_CZnyGR6w!2m2!1d40.71220088713792!2d-74.00851805836575!3f41.21188191900988!4f54.994686084425894!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Art of the City</i> by Peter Conrad, 1984","Given its resemblance to European Gothic cathedrals, the Woolworth building was called ""The Cathedral of Commerce"" by the Reverend S. Parkes Cadman.","In Duchamp’s America, art had been supplanted by engineering. The country’s creativity, he thought, went into its plumbing and its bridges; all art had to do was make selections from its utilitarian stock, as he did when he tagged the Woolworth Building as a ready-made. Because New York was already “a complete work of art,” it absolved Duchamp from the necessity of creating new works of art. Its gift to him was that it silenced him. “I have not painted a single picture since coming over,” he boasted.",,
,,The Biz,1675 Broadway,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154912232!6m8!1m7!1sQqCmyCsYw-GAc1qoWe1H3w!2m2!1d40.76304154338271!2d-73.98308219629342!3f274!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>The Real Mad Men: The Renegades of Madison Avenue and the Golden Age of Advertising</i> by Andrew Cracknell, 2011",,"In the mid-1950s an art director at Benton & Bowles asked the name of the hopeful blonde female illustrator who’d just shown her folio to a colleague in the office next to his. “That wasn’t a chick,” he laughed, “I’ve got his name somewhere ... er ... Andy Warhol.”",,
,106,The Biz, 405 Lexington Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447154964189!6m8!1m7!1sO4FMEyIhedLl6jWMx7HkLQ!2m2!1d40.75182211452081!2d-73.97579793832247!3f146!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Douglas,,"If Chrysler produced a new model every year, why shouldn’t architects do the same? The skyscrapers were not only technology soon to be junked as obsolete, but pop and mass art, and whatever else it may be, mass art is transient, disposable, replaceable.",,
,,The Biz,E 55th St & Madison Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447155040306!6m8!1m7!1s2XSWqhi_SKYsgkdVM9VyNQ!2m2!1d40.7609916!2d-73.9733124!3f225!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Gooch,Hugo Gallery = E 55th St & Madison Ave,"O’Hara was vexed by Warhol’s rise. They had both arrived in New York at about the same time. But Warhol’s acceptance by the art world in which O’Hara was so celebrated was peripheral at best. Of Warhol’s first show at the Hugo Gallery in 1952, an unimpressed Art News reviewer had written that his drawings of young boys’ heads and women dressed in the style of the twenties were “airily” reminiscent of the novels of Truman Capote. ",,
,172,The Biz,The Metropolitcan Museum of Art,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447155068754!6m8!1m7!1suBlw30VAsmuUk8MzFMfJag!2m2!1d40.77884643635345!2d-73.96236890780172!3f295!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Huxtable Architecture of NY,,"The façade of the Bank of the United States was cunningly tucked away as the south façade of the American Wing of the Metropolitan Museum of Art when the rest of the bank was demolished. This fine and important front is now a kind of a rear at the back, visible to the facing stone walls and the most diligent and dedicated searcher. Preservation can be an act of polite disposal",,
,80&81,The Biz,515 Madison Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447155257837!6m8!1m7!1sLtCVUv8_4SAI-BqJ767vyA!2m2!1d40.76002607571678!2d-73.97401509681157!3f126!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",O'Hara,,"515 Madison Avenue
<br><br>door to heaven? portal
<br><br>stopped realities and eternal licentiousness<br><br>
or at least the jungle of impossible eagerness
<br><br>your marble is bronze and your lianas elevator cables<br><br>swinging from the myth of ascending<br><br>
I would join
<br><br>or declining the challenge of racial attractions
<br><br>they zing on (into the lynch, dear friends)
<br><br>while everywhere love is breathing draftily
<br><br>like a doorway linking 53rd with 54th<br><br>
the east-bound with the west-bound traffic by 8,000,000s<br><br> o midtown tunnels and the tunnels, too, of Holland",,
,310,The Biz,Columbus Circle,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447155221808!6m8!1m7!1s1QAhazqkt8TBNFPy0CGSOQ!2m2!1d40.76830352232159!2d-73.98115806791756!3f171!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Sanders,,"Like so many others, a young woman named Gladys Glover has come toNew York to make a name for herself. Unable to do so by dint of talent or determination, she hits upon a simpler expedient, using her hard-earned cash to rent a huge billboard overlooking Columbus Circle, with her name painted on it in ten-foot-tall letters. Eerily prophetic in its vision of celebrity as a self-fueling phenomenon—Gladys becomes famous for being famous— offering deep insight into the nature of urban spectacle. New York is a city of crowds, of course, but it is also an instrument by which certain individuals distinguish themselves from the crowd, commanding the attention of everyone else. Incapable of activating New York’s publicity machine in an institutional way, Gladys taps the city’s physical urbanism, which turns out to be shaped along much the same lines: giant signs, placed on buildings facing large public spaces, seek to draw the notice of the thousands of pedestrians below.",,
,,The Biz,225 Liberty Street,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447155364623!6m8!1m7!1sGFbrrT1xp7Qw8X8eS3WdWQ!2m2!1d40.71146500437118!2d-74.01554366494528!3f14.441902838886733!4f1.0342668517339746!5f0.8665946234486788"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Trager,,Irving Trust Building’s vault has a chemical coating designed to emit a paralyzing gas should it be attacked by a safecracker’s blowtorch. ,,
