Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,197,x,E 52nd St between 3rd and 2nd Aves,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446475415437!6m8!1m7!1sCRz9gs5-ZPDNXbtlpGjmQA!2m2!1d40.75652234261718!2d-73.96853910084147!3f44!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""September 1, 1939"" by W.H. Auden ","Auden wrote this poem in the first days of World War II in a New York City gay bar. E. M. Forster, in awe of ""September 1, 1939"" upon publication writes, ""Because he once wrote 'We must love one another or die' he can command me to follow him.""  ","I sit in one of the dives<br>
On Fifty-second Street<br>
Uncertain and afraid<br>
","I sit in one of the dives<br>
On Fifty-second Street<br>
Uncertain and afraid<br>
<br><br>
As the clever hopes expire<br>
Of a low dishonest decade:<br>
Waves of anger and fear<br>
Circulate over the bright <br>
And darkened lands of the earth,<br>
Obsessing our private lives;<br>
The unmentionable odour of death<br>
Offends the September night.<br>
<br><br>
Accurate scholarship can <br>
Unearth the whole offence<br>
From Luther until now<br>
That has driven a culture mad,<br>
Find what occurred at Linz,<br>
What huge imago made<br>
A psychopathic god:<br>
I and the public know<br>
What all schoolchildren learn,<br>
Those to whom evil is done<br>
Do evil in return. <br>
<br><br>
Exiled Thucydides knew<br>
All that a speech can say<br>
About Democracy,<br>
And what dictators do,<br>
The elderly rubbish they talk<br>
To an apathetic grave;<br>
Analysed all in his book,<br>
The enlightenment driven away,<br>
The habit-forming pain,<br>
Mismanagement and grief:<br>
We must suffer them all again.<br>
<br><br>
Into this neutral air<br>
Where blind skyscrapers use<br>
Their full height to proclaim<br>
The strength of Collective Man,<br>
Each language pours its vain<br>
Competitive excuse:<br>
But who can live for long<br>
In an euphoric dream;<br>
Out of the mirror they stare,<br>
Imperialism’s face<br>
And the international wrong.<br>
<br>
Faces along the bar<br>
Cling to their average day:<br>
The lights must never go out,<br>
The music must always play,<br>
All the conventions conspire <br>
To make this fort assume<br>
The furniture of home;<br>
Lest we should see where we are,<br>
Lost in a haunted wood,<br>
Children afraid of the night<br>
Who have never been happy or good.<br>
<br><br>
The windiest militant trash<br>
Important Persons shout<br>
Is not so crude as our wish:<br>
What mad Nijinsky wrote<br>
About Diaghilev<br>
Is true of the normal heart;<br>
For the error bred in the bone<br>
Of each woman and each man<br>
Craves what it cannot have,<br>
Not universal love<br>
But to be loved alone.<br>
<br><br>
From the conservative dark<br>
Into the ethical life<br>
The dense commuters come,<br>
Repeating their morning vow;<br>
“I will be true to the wife,<br>
I’ll concentrate more on my work,""<br>
And helpless governors wake<br>
To resume their compulsory game:<br>
Who can release them now,<br>
Who can reach the deaf,<br>
Who can speak for the dumb?<br>
<br><br>
All I have is a voice<br>
To undo the folded lie,<br>
The romantic lie in the brain<br>
Of the sensual man-in-the-street<br>
And the lie of Authority<br>
Whose buildings grope the sky:<br>
There is no such thing as the State<br>
And no one exists alone;<br>
Hunger allows no choice<br>
To the citizen or the police;<br>
We must love one another or die.<br>
<br><br>
Defenceless under the night<br>
Our world in stupor lies;<br>
Yet, dotted everywhere,<br>
Ironic points of light<br>
Flash out wherever the Just<br>
Exchange their messages:<br>
May I, composed like them<br>
Of Eros and of dust,<br>
Beleaguered by the same<br>
Negation and despair,<br>
Show an affirming flame.<br>
",
,218,x,Union Square,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446479746081!6m8!1m7!1sDh5dFa-fjmziHAreE79Rxw!2m2!1d40.73566201106162!2d-73.98974931723453!3f235!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","""Union Square"" by Sara Teasdale, <i>The Collected Poems of Sara Teasdale</i> 1937",,"With the man I love who loves me not,<br>
      I walked in the street-lamps' flare;<br>
We watched the world go home that night<br>
      In a flood through Union Square.<br>
","With the man I love who loves me not,<br>
      I walked in the street-lamps' flare;<br>
We watched the world go home that night<br>
      In a flood through Union Square.<br><br>

I leaned to catch the words he said<br>
      That were light as a snowflake falling;<br>
Ah well that he never leaned to hear<br>
      The words my heart was calling.<br><br>

And on we walked and on we walked<br>
      Past the fiery lights of the picture shows —<br>
Where the girls with thirsty eyes go by<br>
      On the errand each man knows.<br><br>

And on we walked and on we walked,<br>
      At the door at last we said good-bye;<br>
I knew by his smile he had not heard<br>
      My heart's unuttered cry.<br><br>

With the man I love who loves me not<br>
      I walked in the street-lamps' flare —<br>
But oh, the girls who ask for love<br>
      In the lights of Union Square.<br>",
,202,x,United Nations,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446482919437!6m8!1m7!1snbczvvt2o_Jz-U7JqbUiQQ!2m2!1d40.75066453417319!2d-73.96848598282392!3f265!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Digressions on some Poems by Frank O’Hara<i> by Joe LeSueur, 2003","LaSueur remembers Frank, his New York roommate of nine years from 1955 to 1965. ","Frank O’Hara’s sexual exploits: His regularly making out with a guard at the UN during its construction, right there in there small, temporary station house, always after midnight...","Frank O’Hara’s sexual exploits: His regularly making out with a guard at the UN during its construction, right there in there small, temporary station house, always after midnight, or like the time he boarded the subway, blind drunk, missed his stop and ended up in Queens, where he blew the Negro in the change booth before catching his train back to Manhattan. ",
,106,x, 405 Lexington Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022570080!6m8!1m7!1sO4FMEyIhedLl6jWMx7HkLQ!2m2!1d40.75182211452081!2d-73.97579793832247!3f146!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Art of the City</i> by Peter Conrad, 1984",,"At first the Empire State was to be only four feet taller than the Chrysler, and John Jacob Raskob worried that Walter Chrysler might cheat by hiding a mast in his spire and suddenly raise it to win the race. For these men the buildings symbolize a power over mortality and over the human body which, for all their wealth, they themselves don’t possess.",,
,299,x,Central Park Zoo,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447121525267!6m8!1m7!1soqWSDpHDXpJZw2rn3OEJzQ!2m2!1d40.76749201600873!2d-73.9706551220753!3f287!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Art of the City</i> by Peter Conrad, 1984","In the surrealist tradition, the ""1874 Central Park Zoo Escape"" was a hoax perpetrated in the <i>New York Herald</i> on November 9, 1874. A rhinoceros was said to be the first to escape, goring his keeper to death and setting into motion the escape of his neighbors. Other animals that the Herald reported free included ""a polar bear, a panther, a Numidian lion, several hyenas, and a Bengal tiger.""","When Dalí wakes up in the Hotel St. Moritz, the city confirms the bloodthirstiness he has excited in it by the temptation of meat, for the first thing he hears is the roar of hungry lions in the Central Park zoo.",,
,21,x,Washington Square Park,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024060651!6m8!1m7!1s4eCmm1E9ZSp-d4LG6mBoCA!2m2!1d40.73131830923693!2d-73.99678458477267!3f260!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Art of the City</i> by Peter Conrad, 1984",,Washington Square is the Latin piazza where pleasure becomes performance.,,
,582-583,x,Brooklyn Bridge,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447024471881!6m8!1m7!1sLRs74KZ42okAAAQfCVmw3Q!2m2!1d40.7077338919932!2d-74.00185228268896!3f78!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","<i>Art of the City</i> by Peter Conrad, 1984","Mayakovsky's 1925 poem ""BrooklynBridge"": <br><br>so I,<br>
in graying evening<br>
haze, humbly set foot
<br>on Brooklyn Bridge. <br>As a conqueror presses<br>
into a city
<br>all shattered,<br> so, I
<br>from the near skies<br> bestrewn with stars,<br>
gaze<br>
at New York<br>
through the Brooklyn Bridge.<br> New York,<br>
heavy and stifling<br> till night,<br>","For Mayakovsky the Brooklyn Bridge prophesies the advent of dialectical materialism, for its own constructive means, advancing beyond the stolidity of stone and suspending masses in the air by the agency of tense steel, take matter and raise it to spirit, as poetic imagery does.","For Mayakovsky the Brooklyn Bridge prophesies the advent of dialectical materialism, for its own constructive means, advancing beyond the stolidity of stone and suspending masses in the air by the agency of tense steel, take matter and raise it to spirit, as poetic imagery does. It’s not a weighted, completed, obstructive thing, but a field of forces distributed through space. Not planted in earth, it unfolds in air, and the logic of its design suggests a similar engineering of society and history: man would be released from his servitude to material forces if only those forces could be operated on, directed, articulated. The bridge is built in time as much as in space. It’s a passage into the future as well as a conduit across a river. Mayakovsky sees it as a prehensile predator, standing with one steel leg in Manhattan while extending a paw to grip Brooklyn. ",
2,110,x,24th St & 7th Ave,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447023008420!6m8!1m7!1seDJLbRNlyi4g-3Sy_QyIPg!2m2!1d40.74439894300923!2d-73.9954320013483!3f34!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","“24th Street” by Fortunato Depero in <i>Burning City: Poems of Metropolitan Modernity</i>, 2012",,"Below the buildings, on the streets we find the crowded mass of “tired and scattered” people (wearing “cynical masks of struggle and tiredness—faces of iron—hearts of iron—tongue of iron—crowd of iron ... ”) ","Below the buildings, on the streets we find the crowded mass of “tired and scattered” people (wearing “cynical masks of struggle and tiredness—faces of iron—hearts of iron—tongue of iron—crowd of iron ... ”) pressed together with more goods (slicing down and across the corner of 24th Street and7th Avenue: “real furs and fake furs by the million: mountains of the most delicate breasts to cover millions of PINK-WOMEN; BROWN AND BLACK WOMEN”)",
,,x,47th St & Central Park West ,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447146938626!6m8!1m7!1salTWSksAKN8EXZCWUTNvLw!2m2!1d40.7775452!2d-73.9749901!3f296!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Ellis,,"In 1899, America’s first auto fatality occurred when an sixty-eight-year-old real estate broker, named Henry H. Bliss, was knocked down as he stepped off a southbound streetcar at Central Park West and Seventy-fourth Street.",,
,,x,1st Ave & 74th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447107885334!6m8!1m7!1s1_jsTuSpju0QgyF46waSMg!2m2!1d40.76916732208858!2d-73.95514955807248!3f347.15941121255327!4f13.007632459162494!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Ellis,"Dachunds are known by their more popular name, ""Weiner Dogs."" The hot dog--also a German import--is a staple of New York street food. ","Dachshunds, a breed of dogs well liked by Germans, were kicked on the sidewalks of New York and renamed liberty pups. Sauerkraut became liberty cabbage. German measles were liberty measles. The Bank of Germany at First Avenue and Seventy-fourth Street changed its name to the Bank of Europe.",,
